Column1,sslccode,talukcode,schoolname,address1,address2,address3,address4,pincode,management,urban,taluk,dist
1203,QA0141,QA04,GOVT HIGH SCHOOL,YALASATHI,YADAGIR,"YADAGIR TQ, YADGIR DIST",,585315,G,R,YADGIR,YADAGIRI
1204,QA0142,QA03,GOVT HIGH SCHOOL,BACHIMATTI,SURPUR TQ,YADGIR DIST,,NA,G,R,SHORAPUR,YADAGIRI
1205,NA0411,NA05,GOVT HIGH SCHOOL,BASTAVADA,HUKKARI TQ,"CHIKKODI EDN DIST, BELAGAVI DIST",,NA,G,R,HUKKERI,BELGAUM CHIKKODI
1206,NA0412,NA05,GOVT  URDU HIGH SCHOOL,YAMAKANAMARADI,HUKKARI TQ,"CHIKKODI EDN DIST, BELAGAVI DIST",,NA,G,R,HUKKERI,BELGAUM CHIKKODI
1207,NA0413,NA05,SWAMI VIVEKANANDA ENGMED H S,COURT CIKRCAL,HUKKARI,ASARE BULDING,,NA,U,U,HUKKERI,BELGAUM CHIKKODI
1208,NA0414,NA02,GOVT HIGH SCHOOL,DHONEWADI,CHIKKODI TQ,"NIPPANI RANGE, BELAGAVI DIST",,NA,G,R,CHIKODI,BELGAUM CHIKKODI
1209,NA0415,NA05,SRI BALAGOUDA MALLAPPA AMMANAGI H S,GUDAS,HUKKERI TQ,BELAGAVI DIST,,NA,U,R,HUKKERI,BELGAUM CHIKKODI
1210,NA0416,NA02,SRI GOPALDADA PATIL HIGH SCHOOL,BEDKIHAL,CHIKODI TQ,"NIPPANI RANGE, BELAGAVI DIST",,NA,U,R,CHIKODI,BELGAUM CHIKKODI
1211,NA0417,NA05,SRI B V V SOCIETY KANNADA MED H S,HUKKERI,HUKKERI TQ,BELAGAVI DIST,,NA,U,U,HUKKERI,BELGAUM CHIKKODI
1212,GG0401,GG04,SAYYED MADANI HIGH SCHOOL,HALE KOTE,ULLALA,MANGALURU TQ DAKSHINA KANNADA DIST,,NA,U,U,NA,DAKSHINA KANNADA
1213,GG0402,GG05,ALVA'S KANNADA MEDIUM HIGH SCHOOL,SUNDARI ANANDA ALVA'S CAMPUS,"VIDYAGIRI, MOODABIDRE POST & TQ", DAKSHINA KANNADA DIST,,574227,U,R,NA,DAKSHINA KANNADA
1214,GG0403,GG01,GOVERNMENT HIGH SCHOOL,KODAMAN,BANTWALA TQ,DAKSHINA KANNADA DIST,,574143,G,R,NA,DAKSHINA KANNADA
1215,GG0404,GG01,GOVT  HIGH SCHOOL,BOLANTHIMOGARU,VITTLAGRAMA,BANTWALA TQ DAKSHINA KANNADA DIST,,574243,G,R,NA,DAKSHINA KANNADA
1216,GG0405,GG01,GOVT COMPOSITE  HIGH SCHOOL,MANCHI,KUKKAJE POST,BANTWALA TQ DAKSHINA KANNADA DIST,,574323,G,R,NA,DAKSHINA KANNADA
1217,GG0406,GG01,GOVT HIGH SCHOOL,KAVALAKATTE,BANTWALA TQ,DAKSHINA KANNADA DIST,,574265,G,R,NA,DAKSHINA KANNADA
1218,GG0407,GG01,GOVT COMPOSITE  HIGH SCHOOL,SALETHOORU,BANTWALA TQ,DAKSHINA KANNADA DIST,,574323,G,R,NA,DAKSHINA KANNADA
1219,GG0408,GG06,ARAFA VIDYA KENDRA,N H 48,UPPINANGADY,PUTTUR TQ DAKSHINA KANNADA DIST,,574241,U,R,NA,DAKSHINA KANNADA
1220,GG0409,GG06,M P M VIDYALAYA,MURA NEHRUNAGAR POST,"VIDYANAGAR, KABAKA GRAMA",PUTTUR TQ DAKSHINA KANNADA DIST,,NA,U,R,NA,DAKSHINA KANNADA
1221,HH0133,HH02,GOVT COMPOSITE  HIGH SCHOOL,NERUGALALE,ABBURUKATTE POST,SOMAWARAPET TQ KODAGU DIST,,NA,G,R,SOMVARPET,KODAGU
1222,KK0427,KK06,"GOVT HIGH SCHOOL, (GENERAL)","KAMARURU, (CHANDRAGUTTI)","BENNUR POST, SORABA TQ,",SHIVAMOGGA DIST.,,577429,G,R,SORAB,SHIMOGA
1223,QQ0462,QQ07,PRAJWALA HIGH SCHOOL,DABARABAD (JAFFERBAD),"KALABURAGI, KALABURAGI TALUK",KALABURAGI DIST,,NA,U,R,GULBARGA SOUTH,GULBARGA
1224,LL0467,LL02,EVERGREEN HIGH SCHOOL,RAMANATHAPURA,ARAKALAGUDU TALUK,HASSAN DIST,,573133,U,R,ARKALGUD,HASSAN
1225,QQ0463,QQ07,KANNADA MEDIUM HIGH SCHOOL,"DR.AMBEDKAR COLONY, KALABURAGI","GULBARDA DIST.,",,,NA,U,U,GULBARGA SOUTH,GULBARGA
1226,SS0391,SS04,SHAHEEN KANNADA HIGH SCHOOL,AHMED BAGH,GOLEKHANA,"BIDAR, BIDAR DIST",,NA,U,U,BIDAR,BIDAR
1227,KK0402,KK05,B G S ENG MED HIGH SCHOOL,SHARAVATHI NAGAR,SHIVAMOGGA,,,577201,U,U,SHIMOGA,SHIMOGA
1228,SS0392,SS04,NOOR HIGH SCHOOL,HALADAKERI (K),HYDARABAD ROAD,BIDAR DIST,,585401,U,U,BIDAR,BIDAR
1229,SS0393,SS03,SRI BHALKESWAR HIGH SCHOOL,BHALKI,BHALKI TQ,BIDAR DIST,,585328,U,U,BHALKI,BIDAR
1230,SS0394,SS05,NANDINI HIGH SCHOOL,NIRNA,HUMNABAD TQ,BIDAR DIST,,NA,U,R,HUMNABAD,BIDAR
1231,KK0403,KK05,SRI ADICHUNCHANAGIRI KAN. HIGH SCHOOL,SHARAVATHI NAGAR,SHIVAMOGGA,,,577201,U,U,SHIMOGA,SHIMOGA
1232,SS0395,SS02,SRI SHIVAYOGI SIDDAVEERA HIGH SCHOOL,TADOLA,BASAVAKALYANA TQ,BIDAR DIST,,NA,U,R,BASAVAKALYAN,BIDAR
1233,SS0396,SS04,JAUHAR HIGH SCHOOL,MULTANI COLONY ROAD,SHAHGUNJ,"BIDAR, BIDAR DIST",,NA,U,U,BIDAR,BIDAR
1234,KK0404,KK07,MORARJI DESAI RES. SCHOOL,ANANDAGIRI BARATHIPUR POST,THIRTHAHALLI TALUK,SHIVAMOGGA DIST,,NA,G,R,THIRTHAHALLI,SHIMOGA
1235,IA0429,IA04,GOVT. HIGH SCHOOL,MUTTAGI,HARAPANAHALLI TALUK,DAVANAGERE DIST,,583127,G,R,HARAPANAHALLI,DAVANAGERE
1236,IA0430,IA06,SRI RENUKA HIGH SCHOOL,KUNDUR,HONNALI TALUK,DAVANAGERE DIST,,NA,U,R,HONNALI,DAVANAGERE
1237,IA0431,IA03,SIDDALINGA COMPOSITE HIGH SCHOOL,SIDDALINGESWARANAGAR,DAVANAGERE,,,577002,U,U,DAVANAGERE(S),DAVANAGERE
1238,IA0432,IA01,SRI TARALABALU JAGADGURU ENG. H.SCHOOL,PLANTERS COURT AJJIHALLI,CHANNAGIRI TQ,DAVANAGERE DIST,,577213,U,R,CHANNAGIRI,DAVANAGERE
1239,IA0433,IA01,SRI MORARJI DESAI MODEL RESI SCHOOL,KEREBILACHI,CHANNAGIRI TQ,DAVANAGERE DIST,,577218,G,R,CHANNAGIRI,DAVANAGERE
1240,IA0434,IA04,SRI MORARJI DESAI MODEL RESI. SCHOOL,NEZEERNAGAR,"HARAPANAHALLI TQ,",DAVANAGERE DIST,,583127,G,R,HARAPANAHALLI,DAVANAGERE
1241,IA0435,IA03,JNANA NYVEDYA HIGH SCHOOL,BIRESHWARA EXTN,DAVANAGERE,DAVANAGERE DIST,,NA,U,U,DAVANAGERE(S),DAVANAGERE
1242,IA036,IA07,J M IMAM MEMO. ENG. MED. HIGH SCHOOL,JAGALURU,DAVANAGAERE DIST,,,577528,U,U,JAGALUR,DAVANAGERE
1243,IA0437,IA06,SRI VENKATESHWARA ENG. MED. HIGH SCHOOL,"GOLLARAHALLI,",HONNALI TQ,DAVANAGERE DIST,,577217,U,R,HONNALI,DAVANAGERE
1244,IA0438,IA03,SRI VISHWABANADHU KALAYANA HIGH SCHOOL,"LENINNAGAR,",NITTUVALLI ROAD,DAVANAGERE,,NA,U,U,DAVANAGERE(S),DAVANAGERE
1245,IA0439,IA02,DR. RAJKUMAR HIGH SCHOOL,KALIKADEVI ROAD,DAVANAGERE,,,577001,A,U,DAVANAGERE(N),DAVANAGERE
1246,IA0440,IA06,SRI MORARJI DESAI MODEL RESI SCHOOL,MADANABHAVI(POST),HONNALI TQ,DAVANAGERE DIST,,NA,G,R,HONNALI,DAVANAGERE
1247,CA0231,CA04,GOVT HIGH SCHOOL,BYCHAPURA,GOWRIBIDANUR TQ,CHIKKABALLAPURA DIST,,NA,G,R,GOWRIBIDANUR,CHIKKABALLAPURA
1248,CA0234,CA05,GOVT HIGH SCHOOL,MACHAHALLI,GUDIBANDE TQ,CHIKKABALLAPURA DIST,,561209,G,R,GUDIBANDA,CHIKKABALLAPURA
1249,CA0238,CA06,B G S PUBLIC SCHOOL,HANUMANTHAPURA GATE,SHIDLAGHATTA TQ,CHIKKABALLAPURA DIST,,NA,U,R,SIDLAGHATTA,CHIKKABALLAPURA
1250,CA0226,CA06,GOVT HIGH SCHOOL,PALLI CHERLU,SHIDLAGHATTA TQ,CHIKKABALLAPURA DIST,,NA,G,R,SIDLAGHATTA,CHIKKABALLAPURA
1251,CA0233,CA06,GOVT HIGH SCHOOL,DEVAPPANAGUDI,SHIDLAGHATTA TQ,CHIKKABALLAPURA DIST,,NA,G,R,SIDLAGHATTA,CHIKKABALLAPURA
1252,CA0230,CA06,SRI JYOTHI ENG MED  H S,H CROSS,SHIDDLAGHATTA TQ,CHIKKABALLPURA DIST,,NA,U,R,SIDLAGHATTA,CHIKKABALLAPURA
1253,CC0250,CC01,GOVT  HIGH SCHOOL,HULIBELE,BANGARAPET TQ,KOLAR DIST,,563114,G,R,BANGARAPETE,KOLAR
1254,CC0257,CC01,GOVT HIGH SCHOOL,BADAMAKANAHALLI,BANGARAPET TQ,KOLAR DIST,,563114,G,R,BANGARAPETE,KOLAR
1255,CC0251,CC02,GOVT COMPOSITE HIGH SCHOOL,OORIGAUMPET,KGF BANGARAPET TQ,KOLAR DIST,,NA,G,U,K G F,KOLAR
1256,CC0253,CC03,GOVT COMPOSITE HIGH SCHOOL,TYAVANAHALLI,KOLAR TQ,KOLAR DIST,,563130,G,R,KOLAR,KOLAR
1257,CC0258,CC03,VALLEY  PUBLIC SCHOOL,NARASAPURA,KOLAR TQ,KOLAR DIST,,NA,U,R,KOLAR,KOLAR
1258,CC0259,CC03,GOVT COMPOSITE HIGH SCHOOL,PATNA,KOLAR TQ,KOLAR DIST,,563101,G,R,KOLAR,KOLAR
1259,CC0260,CC03,GOVT COMPOSITE HIGH SCHOOL,SULURU,KOLAR TQ,KOLAR DIST,,563101,G,R,KOLAR,KOLAR
1260,CC0261,CC03,GREEN VALLEY PUBLIC SCHOOL,BEGGLIHOSAHALLI,KOLAR TQ,KOLAR DIST,,NA,U,R,KOLAR,KOLAR
1261,CC0262,CC03,GOVT HIGH SCHOOL,KAMADHENUHALLI,KOLAR TQ,KOLAR DIST,,563101,G,R,KOLAR,KOLAR
1262,CC0267,CC03,VIDYA JYOTHI ENG. MEDIUM H S,BASAVANATTHA,KOLAR TQ,KOLAR DIST,,563101,U,R,KOLAR,KOLAR
1263,CC0252,CC04,GOVT COMPOSITE HIGH SCHOOL,KESARAGERE,MALURU TQ,KOLAR DIST,,563139,G,R,MALUR,KOLAR
1264,CC0248,CC05,GOVT COMPOSITE HIGH SCHOOL,GUMLAPURA,MULABAGILU TQ,KOLAR DIST,,563131,G,R,MULBAGAL,KOLAR
1265,LL0507,LL08,VIVEKA ENGLISH MEDIUM HIGH SCHOOL,BANAVASE BALLUPETE B M ROAD,SAKALESHAPURA TQ,HASSAN DIST,,573214,U,R,SAKLESHPUR,HASSAN
1266,LL0508,LL05,SARVODAYA HIGH SCHOLL,SRINIVASAPURA,KASABA HOBLI,CHANNARAYA PATTANA TQ HASSAN DIST,,573116,U,R,CHANNAYARAPATNA,HASSAN
1267,LL0509,LL08,GOVERNMENT GIRLS HIGH SCHOOL,SAKALESHAPURA AT AND POST,SAKALESHAPURA TQ,HASSAN DIST,,573134,G,U,SAKLESHPUR,HASSAN
1268,LL0510,LL06,SRI KALIVEER  HIGH SCHOOL,HANUMANTPURA POST,BITTAGOVINAHALLY,HASSAN TQ HASSAN DIST,,NA,U,R,HASSAN,HASSAN
1269,LL0511,LL08,OXFORD HIGH SCHOOL,B M ROAD,SAKALESHAPURA POST,SAKALESHAPURA TQ HASSAN DIST,,573134,U,U,SAKLESHPUR,HASSAN
1270,MA0296,MA04,GOVT COMPOSITE HIGH SCHOOL,HOSAKATTI,HIREKERUR TQ,HAVERI DIST,,NA,G,R,HIREKERUR,HAVERI
1271,MA0297,MA07,GOVT HIGH SCHOOL,CHANDAPURA,POST CHANDAPURA,SHIGGAON TQ HAVERI DIST,,NA,G,R,SHIGGOAN,HAVERI
1272,MA0298,MA02,GOVT HIGH SCHOOL,HIRURU,HANGAL TQ,HAVERI DIST,,NA,G,R,HANAGAL,HAVERI
1273,MA0299,MA04,GOVT HIGH SCHOOL,HIREKABBARA,HIREKERUR TQ,HAVERI DIST,,NA,G,R,HIREKERUR,HAVERI
1274,MA0300,MA06,GOVT COMPOSITE HIGH SCHOOL,HOSALLI,SAVANURU TQ,HAVERI DIST,,NA,G,R,SAVANUR,HAVERI
1275,MA0301,MA02,GOVT HIGH SCHOOL,MANTAGI,HANGAL TQ,HAVERI DIST,,NA,G,R,HANAGAL,HAVERI
1276,MA0302,MA05,GOVT HIGH SCHOOL,MARUTHI NAGAR,RANIBENNUR,HAVERI DIST,,NA,G,R,RANEBENNUR,HAVERI
1277,MA0303,MA02,GOVT HIGH SCHOOL,HIREBASUR,HANGAL TQ,HAVERI DIST,,NA,G,R,HANAGAL,HAVERI
1278,MA0304,MA04,GOVT HIGH SCHOOL,DOODIHALLI,HIREKERUR TQ,HAVERI DIST,,NA,G,R,HIREKERUR,HAVERI
1279,MA0305,MA07,GOVT HIGH SCHOOL,KYALAKONDA,"POST KYALA KONDA, SHIGGAMVI TQ",HAVERI DIST,,NA,G,R,SHIGGOAN,HAVERI
1280,MA0306,MA02,GOVT HIGH SCHOOL,KOODALA,HANGAL TQ,HAVERI DIST,,NA,G,R,HANAGAL,HAVERI
1281,MA0307,MA03,GOVT HIGH SCHOOL,CHIKKALINGADAHALLI,HAVERI TQ,HAVERI DIST,,NA,G,R,HAVERI,HAVERI
1282,MA0308,MA03,GOVT URDU  HIGH SCHOOL,DEVI HOSURA,HAVERI TQ,HAVERI DIST,,NA,G,R,HAVERI,HAVERI
1283,MA0309,MA04,GOVT COMPOSITE HIGH SCHOOL,YADAGODA,HIREKERUR TQ,HAVERI DIST,,NA,G,R,HIREKERUR,HAVERI
1284,MA0310,MA06,GOVT COMPOSITE HIGH SCHOOL,HALEMANNANGI,SAVANUR TQ,HAVERI DIST,,NA,G,R,SAVANUR,HAVERI
1285,MA0311,MA05,ST LAWRENCE ENG MED HIGH SCHOOL,RANIBENNUR,HAVERI DIST,,,NA,U,U,RANEBENNUR,HAVERI
1286,GA0235,GA05,GOVT COMPOSITE  HIGH SCHOOL,MANIPURA,UDUPI SOUTH TQ,UDUPI DIST,,574105,G,R,UDUPI,UDUPI
1287,GA0236,GA04,GOVT  HIGH SCHOOL,KUKKEHALLY,UDUPI NORTH TQ,UDUPI DIST,,576124,G,R,BRAHAMAVARA,UDUPI
1288,GA0237,GA04,GOVERNMENT HIGH SCHOOL,KALTHOORU,SANTHE KATTE,UDUPI NORTH TQ UDUPI DIST,,576215,G,R,BRAHAMAVARA,UDUPI
1289,SS0423,SS03,"MORARJI DESAI RESIDENTIAL SCHOOL,",LECTURERS' COLONY,NEAR WATER TANK,BHALKI TALUQ,BIDAR DISTRICT,585328,G,U,BHALKI,BIDAR
1290,GA0143,GA02,GOVT HIGH SCHOOL,"VADERHOBLI,KUNDAPURA TALUK",UDUPI DISTRICT,,,576281,G,U,KUNDAPURA,UDUPI
1291,QQ0618,QQ05,GOVERNMENT UPGRADED URDU HIGH SCHOOL (RMSA),TAVARAGERA,GULBURGA NORTH TALUQ,KALABURAGI DISTRICT,,585102,G,R,GULBARGA NORTH,GULBARGA
1292,CC0294,CC04,"MORARJI DESAI RESIDENTIAL SCHOOL,","JSS OLD PUBLIC SCHOOL COMPOUND,",MALUR,KOLAR DIST.,,NA,G,U,MALUR,KOLAR
1293,QQ0619,QQ04,"GOVERNMENT HIGH SCHOOL,",MALAGATHI,CHITTAPUR TALUQ,KALABURAGI DISTRICT,,585228,G,R,CHITTAPUR,GULBARGA
1294,CC0295,CC01,"GOVT HIGH SCHOOL,",GAJAGA,MAGONDI POST,BANGARPET TQ KOLAR DIST,,NA,G,R,BANGARAPETE,KOLAR
1295,QQ0620,QQ06,"GOVERNMENT HIGH SCHOOL,","KURALAGERA,","JEWARGE TALUQ,",KALABURAGI DISTRICT,,585325,G,R,JEWARGI,GULBARGA
1296,QQ0621,QQ06,"GOVERNMENT HIGH SCHOOL,","KAASARABHOSAGA,",JEEVARGI TALUQ,KALABURAGI DISTRICT,,585310,G,R,JEWARGI,GULBARGA
1297,CC0296,CC02,"GOOD SHEPHERD ENGLISH HIGH SCHOOL,","BEHIND ST. JOHNS' CSI CHURCH,","COROMANDEL, POST, K.G.F.",KOLAR DIST.,,563118,U,U,K G F,KOLAR
1298,QQ0622,QQ01,GOVERNMENT HIGH SCHOOL,"SHIVOORA,","AFSALPUR TALUK,",KALABURAGI DISTRICT,,585217,G,R,AFZALPUR,GULBARGA
1299,CC0297,CC05,"MORARJI DESAI RESIDENTIAL SCHOOL,","DEVARAYA SAMUDRA,",MULABAGILU TQ,KOLAR DIST.,,NA,G,R,MULBAGAL,KOLAR
1300,CC0298,CC01,"SHWETHA ENGLISH MEDIUM HIGH SCHOOL,","BENNAVARA,","BANGARPET TQ,",KOLAR DIST.,,563121,U,R,BANGARAPETE,KOLAR
1301,CC0299,CC01,"VIMALA HRUDAYA ENGLISH MEDIUM HIGH SCHOOL,","T.GOLLAHALLY,","BANGARPET TQ,", KOLAR DIST.,,NA,U,R,BANGARAPETE,KOLAR
1302,CC0300,CC04,"UNIQUE INTERNATIONAL HIGH SCHOOL,","ARALERI ROAD,","MALUR,",KOLAR DIST.,,563130,U,U,MALUR,KOLAR
1303,CC0301,CC04,"GOLDEN INTERNATIONAL HIGH SCHOOL,","BAGURU,","SONNENAHALLI -MALUR TQ,",KOLAR DIST.,,NA,U,R,MALUR,KOLAR
1304,CC0302,CC01,"VEMANA VIDYA SAMSTHE ENGLISH MEDIUM HIGH SCHOOL,","MAJARAGUTTAHALLI,","KYASAMBALLI ROAD, BAGARPETE TQ,",KOLAR DIST,,NA,U,R,BANGARAPETE,KOLAR
1305,CC0303,CC01,"JAIN GLOBAL ENGLISH MEDIUM HIGH SCHOOL,","INDIRANAGARA,","BANGARPET TQ,",KOLAR DIST.,,NA,U,R,BANGARAPETE,KOLAR
1306,CC0304,CC01,"SRI DATTA SAI  HIGH SCHOOL,","BETHAMANGALA,","BANGARPET TQ,",KOLAR DIST.,,NA,U,R,BANGARAPETE,KOLAR
1307,CC0305,CC04,"J.S.S. GAYATHRI HIGH SCHOOL,","MALUR,","MALUR TQ,","KOLAR DIST,",,563130,U,U,MALUR,KOLAR
1308,CC0306,CC03,"SHAILENDRA ENGLISH MEDIUM HIGH SCHOOL,",HOLUR,KOLAR TQ & DIST,,,563126,U,R,KOLAR,KOLAR
1309,CC0307,CC03,"SMT. YALAMMA MEMORIAL HIGH SCHOOL,","TAMAKA,",KOLAR TQ & DIST.,,,563101,U,R,KOLAR,KOLAR
1310,CC0308,CC03,"PREM SEVA VIDYALAYA HIGH SCHOOL,","PREMASEVANAGARA,","YANDRAKAYAPURA, MALUR ROAD,",KOLAR TQ &DIST,,NA,U,R,KOLAR,KOLAR
1311,CC0309,CC03,"SAINIK PUBLIC ENGLISH MEDIUM HIGH SCHOOL,","K.H.B.QUARTERS,","HAROHALLY,",KOLAR TQ & DIST.,,NA,U,U,KOLAR,KOLAR
1312,CC0310,CC03,"NALANDA VIDYANIKETHANA HIGH SCHOOL,","GULPET, PALASANDRA LAYOUT,",KOLAR TQ & DIST.,,,NA,U,U,KOLAR,KOLAR
1313,CC0311,CC01,"SWAMY VIVEKANANDA HIGH SCHOOL,","LAKSHMIPURA, HARATI ROAD,","BANGARPET TQ,",KOLAR DIST.,,NA,U,R,BANGARAPETE,KOLAR
1314,QQ0623,QQ01,GOVERNMENT HIGH SCHOOL,"TELLOORA,","AFSALPUR TALUQ,",KALABURAGI DISTRICT,,585212,G,R,AFZALPUR,GULBARGA
1315,QQ0624,QQ01,"GOVERNMENT HIGH SCHOOL,","GOUR (B),","AFZALPUR TALUQ,",KALABURAGI DISTRICT,,585301,G,R,AFZALPUR,GULBARGA
1316,QQ0625,QQ05,SRI SEVALAL HIGH SCHOOL,"SHIVAJINAGAR (A),","GULBURGA NORTH TALUQ,",KALABURAGI DISTRICT,,NA,U,U,GULBARGA NORTH,GULBARGA
1317,QQ0626,QQ06,"PREETHI PATILA MEMORIAL HIGH SCHOOL,",HANGARGA (B),"JEEVARGI TALUQ,",KALABURAGI DISTRICT,,NA,U,R,JEWARGI,GULBARGA
1318,QQ0627,QQ02,"BASAVESWARA HIGH SCHOOL,","ALAND,",ALAND TALUQ,KALABURAGI DISTRICT,,585302,U,U,ALAND,GULBARGA
1319,QQ0628,QQ05,"SRI SHETTY SANGAPPA MEMORIAL HIGH SCHOOL,","ALAND ROAD,",GULBURGA DISTRICT,,,585101,U,U,GULBARGA NORTH,GULBARGA
1320,QQ0629,QQ07,GOVERNMENT HIGH SCHOOL,"HAGARGA,",GULBURGA SOUTH TALUQ,KALABURAGI DISTRICT,,585102,G,R,GULBARGA SOUTH,GULBARGA
1321,NN0380,NN01,PRECIOUS BLOSSOMS HIGH SCHOOL,HINDAVADI,BELAGAVI TQ,BELAGAVI DIST,,NA,U,U,BELGAUM,BELGAUM
1322,NN0381,NN06,GOVT HIGH SCHOOL,SHINDOGI,SAVADATI TQ,BELAGAVI DIST,,NA,G,R,SOUNDATTI,BELGAUM
1323,NN0382,NN03,GOVT HIGH SCHOOL,BAILAHONGALA,BAILAHONGALA TQ,BELAGAVI DIST,,NA,G,R,BAILHONGAL,BELGAUM
1324,NN0383,NN06,GOVT HIGH SCHOOL,KAGADALA,SAVADATI TQ,BELAGAVI DIST,,NA,G,R,SOUNDATTI,BELGAUM
1325,NN0384,NN05,GOVT HIGH SCHOOL,HALAGATHI,RAMADURGA TQ,BELAGAVI DIST,,NA,G,R,RAMDURG,BELGAUM
1326,NN0385,NN05,GOVT HIGH SCHOOL,OBALAPURA,RAMADURGA TQ,BELAGAVI DIST,,NA,G,R,RAMDURG,BELGAUM
1327,NN0386,NN06,GOVT HIGH SCHOOL,CHIKKAUMBI,SAVADATI TQ,BELAGAVI DIST,,NA,G,R,SOUNDATTI,BELGAUM
1328,NN0387,NN07,GOVT HIGH SCHOOL,KATRIDADDI,KULUVALLI POST,"BAILAHONGALA TQ, BELAGAVI DIST",,NA,G,R,BAILHONGAL,BELGAUM
1329,NN0388,NN05,GOVT HIGH SCHOOL,KATAKOLU,RAMADURGA TQ,BELAGAVI DIST,,NA,G,R,RAMDURG,BELGAUM
1330,NN0389,NN05,GOVT HIGH SCHOOL,KALAHALA,RAMADURGA TQ,BELAGAVI DIST,,NA,G,R,RAMDURG,BELGAUM
1331,NN0390,NN03,GOVT HIGH SCHOOL,SANIKOPPA,BAILAHONGALA TQ,BELAGAVI DIST,,NA,G,R,BAILHONGAL,BELGAUM
1332,NN0391,NN06,GOVT HIGH SCHOOL,MARAKUMBI,SAVADATI TQ,BELAGAVI DIST,,NA,G,R,SOUNDATTI,BELGAUM
1333,NN0392,NN01,GOVT DEAF AND DUMB GIRLS H S,AZAMNAGAR,"VYDAGIRI, BELAGAVI",BELAGAVI  TQ AND DIST,,NA,G,U,BELGAUM,BELGAUM
1334,SS0390,SS02,SRI MORARJI DESAI MODEL RES SCHOOL,HULASURU,BASAVAKALYANA TQ,BIDAR DIST,,585416,G,R,BASAVAKALYAN,BIDAR
1335,KK0401,KK04,SADIYA HIGH SCHOOL,MATADAGUDDADA ROAD,SHIRALAKOPPA SHIKARIPUR TQ,SHIVAMOGGA DIST,,577428,U,U,SHIKARIPUR,SHIMOGA
1336,SS0405,SS02,SRI GURU SIDDARAJA HIGH SCHOOL,SHIVANAGARA,BASAVAKALYANA TALUK,BIDAR DIST,,NA,U,U,BASAVAKALYAN,BIDAR
1337,SS0406,SS04,GOVT URDU HIGH SCHOOL,AMALAPURA GRAMA,BIDAR TALUK,BIDAR DIST,,NA,G,R,BIDAR,BIDAR
1338,SS0407,SS01,LITTLE FLOWER ENGLISH HIGH SCHOOL,"AURAD, (B)",AURAD TALUK,BIDAR DIST,,585326,U,U,AURAD,BIDAR
1339,SS0408,SS03,SADGURU HIGH SCHOOL,BHALKI,BHALKI TALUK,BIDAR DIST,,585328,U,U,BHALKI,BIDAR
1340,SS0409,SS02,LITTLE FLOWER ENGLISH MEDIUM HIGH SCHOOL,THRIPURANTHA,BASAVAKALYANA TALUK,BIDAR DIST,,NA,U,U,BASAVAKALYAN,BIDAR
1341,SS0410,SS05,SHADAAN HIGH SCHOOL,HUMNABAD,HUMNABAD TALUK,BIDAR DIST,,585330,U,U,HUMNABAD,BIDAR
1342,SS0411,SS04,SRI VAIJINATH KAMATHANE,HIGH SCHOOL BIDAR,BIDAR TALUK,BIDAR DIST,,NA,U,U,BIDAR,BIDAR
1343,SS0412,SS02,ANANDA HIGH SCHOOL,BELURU,BASAVAKALYANA TALUK,BIDAR DIST,,NA,U,R,BASAVAKALYAN,BIDAR
1344,SS0413,SS04,OXFORD HIGH SCHOOL,VIDYANAGAR COLONY,BIDAR,BIDAR DIST,,585403,U,U,BIDAR,BIDAR
1345,SS0414,SS03,GANGAMMA BORALE HIGH SCHOOL,HALABURGA,BHALKI TALUK,BIDAR DIST,,585413,U,R,BHALKI,BIDAR
1346,SS0415,SS03,GURUPRASADA HIGH SCHOOL,BHALKI,BHALKI  TALUK,BIDAR DIST,,585328,U,U,BHALKI,BIDAR
1347,TT0397,TT06,SRI MORARJI DESAI MODEL RESIDENTIAL SCHOOL (S.T.),BANDRI,SANDUR TALUK,BALLARI DISTRICT,,583124,G,R,SANDUR,BELLARY
1348,TT0398,TT06,SRI MORARJI DESAI MODEL RESI SCHOOL (S.T.),BANNIHATTI,SANDUR TALUK,BALLARI DIST,,NA,G,R,SANDUR,BELLARY
1349,TT0399,TT08,VIDYANIKETHANA ENGLISH MEDIUM HIGH SCHOOL,"II MAIN ROAD, PARVATHI NAGAR",BALLARI,BALLARI DISTRICT,,583103,U,U,BELLARY,BELLARY
1350,TT0400,TT05,SRI VINAYAKA HIGH SCHOOL,"NEAR SRI VENKATESHWARA TEMPLE,","6TH WARD, KUDLIGI, KUDLIGI TALUK",BALLARI DISTRICT,,583135,U,U,KUDLIGI,BELLARY
1351,TT0401,TT03,SMIORE VYASAPURI ENGLISH MEDIUM HIGH SCHOOL,"VYASAPURI COLONY, HANUMANAHALLI",HOSAPET TALUK,BALLARI DISTRICT,,583222,U,R,HOSPET,BELLARY
1352,TT0402,TT03,GOVT HIGH SCHOOL,KAKUBALU,HOSAPET TALUK,BALLARI DISTRICT,,NA,G,R,HOSPET,BELLARY
1353,TT0403,TT04,MORARJI DESAI MODEL RESI SCHOOL (S.C.),MEERAKORNAHALLI,HUVINAHADAGALI TALUK,BALLARI DIST,,NA,G,R,HADAGALI,BELLARY
1354,TT0404,TT04,GOVT HIGH SCHOOL,UPANAYAKANAHALLI,HUVINAHADAGALI TALUK,BALLARI DISTRICT,,583219,G,R,HADAGALI,BELLARY
