Column1,sslccode,talukcode,schoolname,address1,address2,address3,address4,pincode,management,urban,taluk,dist
7721,GA0200,GA03,RADHA NAYAK GOVT HIGH SCHOOL,"ENNEHOLE, KARKALA TALUK",UDUPI  DISTRICT,,,574101,G,R,KARKALA,UDUPI
7722,II0277,II02,ROTARY VIDYALAYA,CHITRADURGA.,CHITRADURGA,CHITRADURGA TQ,,NA,U,U,CHITRADURGA,CHITRADURGA
7723,GG0281,GG06,VIVEKANANDA HIGH SCHOOL,TENKILA VIVEKANAGAR,PUTTUR TALUK,D K DISTRICT,,574201,U,U,NA,DAKSHINA KANNADA
7724,GG0282,GG01,"SRI BHARATHI VIDYANIKETHAN HIGHSCHOOL,",NARIKOMBU BANTWAL.TALUK,D K DISTRICT,,,NA,U,R,NA,DAKSHINA KANNADA
7725,GG0283,GG03,ANJUMAN ENG.MED. HIGH SCHOOL,JOKATTE  MANGALURU.TALUK,D. K. DIST.,,,NA,U,R,NA,DAKSHINA KANNADA
7726,NN0002,NN03,M.S.S.R.  HIGH SCHOOL,BAILHONGAL,BELAGAVI DISTRICT,,,591102,A,U,BAILHONGAL,BELGAUM
7727,NN0003,NN01,GILGANCHI ARTAL COMP JR COLLEGE,BELAGAVI,BELAGAVI DISTRICT,,,590001,A,U,BELGAUM,BELGAUM
7728,NN0004,NN01,THE MARATHA MANDAL COMP JR COLLEGE,COURT ROAD,BELAGAVI DISTRICT,,,590002,A,U,BELGAUM,BELGAUM
7729,NA0144,NA05,MADHYAMIK VIDYALAYA,MODAGE  HUKKERI TQ,BELAGAVI DISTRICT,,,NA,A,R,HUKKERI,BELGAUM CHIKKODI
7730,NN0006,NN01,BEYNONSMITH HIGH SCHOOL,BELAGAVI,BELAGAVI DISTRICT,,,590001,A,U,BELGAUM,BELGAUM
7731,NN0007,NN04,THE MARATHA MANDAL'S HR SEC SCHOOL,KHANAPUR,BELAGAVI DISTRICT,,,NA,A,U,KHANAPUR,BELGAUM
