Block_Name,District,Year,Schools
MULBAGAL,KOLAR,2012,440
MUNDAGOD,UTTARA KANNADA SIRSI,2012,147
MUNDARAGI,GADAG,2012,121
MYSORE RURAL,MYSORE,2012,324
NAGAMANGALA,MANDYA,2012,389
NANJANAGUD,MYSORE,2012,320
NARAGUND,GADAG,2012,70
NARASIMHARAJAPURA,CHIKKAMANGALORE,2012,117
NAVALGUND,DHARWAD,2012,138
NELAMANGALA,BANGALORE RURAL,2012,334
NIPPANI,BELGAUM CHIKKODI,2012,245
PANDAVAPURA,MANDYA,2012,228
PAVAGADA,TUMKUR MADHUGIRI,2012,281
PERIYA PATNA,MYSORE,2012,327
PUTTUR,DAKSHINA KANNADA,2012,234
RAIBAG,BELGAUM CHIKKODI,2012,425
RAICHUR,RAICHUR,2012,401
RAMANAGARA,RAMANAGARA,2012,353
RAMDURG,BELGAUM,2012,255
RON,GADAG,2012,211
SAGAR,SHIMOGA,2012,365
SAKALESHAPURA,HASSAN,2012,210
SANDUR,BELLARY,2012,207
SAVANUR,HAVERI,2012,139
SEDAM,GULBARGA,2012,286
SHAHAPUR,YADAGIRI,2012,374
SHIGGOAN,HAVERI,2012,197
SHIKARIPUR,SHIMOGA,2012,283
SHIMOGA,SHIMOGA,2012,498
SHIRHATTI,GADAG,2012,182
SHORAPUR,YADAGIRI,2012,434
SIDDAPUR,UTTARA KANNADA SIRSI,2012,231
SIDLAGHATTA,CHIKKABALLAPURA,2012,312
SINDAGI,BIJAPUR,2012,470
SINDHANUR,RAICHUR,2012,432
SIRA,TUMKUR MADHUGIRI,2012,484
SIRSI,UTTARA KANNADA SIRSI,2012,321
SIRUGUPPA,BELLARY,2012,247
SOMAVARPET,KODAGU,2012,199
SORAB,SHIMOGA,2012,332
SOUNDATTI,BELGAUM,2012,289
SRINGERI,CHIKKAMANGALORE,2012,76
SRINIVASAPUR,KOLAR,2012,369
SRIRANGA PATNA,MANDYA,2012,176
SULLIA,DAKSHINA KANNADA,2012,166
T.N.PURA,MYSORE,2012,275
TARIKERE,CHIKKAMANGALORE,2012,285
THIRTHAHALLI,SHIMOGA,2012,261
TIPTUR,TUMKUR,2012,324
TUMKUR,TUMKUR,2012,655
TURUVEKERE,TUMKUR,2012,329
UDUPI,UDUPI,2012,171
VIRAJPET,KODAGU,2012,176
YADGIR,YADAGIRI,2012,386
YELANDUR,CHAMARAJANAGARA,2012,77
YELBURGA,KOPPAL,2012,245
YELLAPUR,UTTARA KANNADA SIRSI,2012,193
AFZALPUR,GULBARGA,2013,253
ALAND,GULBARGA,2013,357
ALUR,HASSAN,2013,199
ANKOLA,UTTARA KANNADA,2013,174
ARAKALAGUDU,HASSAN,2013,355
ARASIKERE,HASSAN,2013,480
ATHANI,BELGAUM CHIKKODI,2013,419
AURAD,BIDAR,2013,382
BADAMI,BAGALKOT,2013,298
BAGALKOT,BAGALKOT,2013,243
BAGEPALLY,CHIKKABALLAPURA,2013,362
BAILHONGAL,BELGAUM,2013,309
BANGARAPETE,KOLAR,2013,383
BANTWAL,DAKSHINA KANNADA,2013,302
BASAVAKALYAN,BIDAR,2013,370
BASAVAN  BAGEWADI,BIJAPUR,2013,410
BELGAUM CITY,BELGAUM,2013,264
BELGAUM RURAL.,BELGAUM,2013,338
BELTHANGADY,DAKSHINA KANNADA,2013,237
BELUR,HASSAN,2013,365
BHADRAVATI,SHIMOGA,2013,355
BHALKI,BIDAR,2013,345
BHATKAL,UTTARA KANNADA,2013,204
BIDAR,BIDAR,2013,600
BILAGI,BAGALKOT,2013,173
BYADAGI,HAVERI,2013,130
CHALLAKERE,CHITRADURGA,2013,450
CHAMARAJA NAGAR,CHAMARAJANAGARA,2013,329
CHANNAGIRI,DAVANAGERE,2013,345
CHANNAPATNA,RAMANAGARA,2013,293
CHANNARAYAPATNA,HASSAN,2013,479
CHIKKABALLAPUR,CHIKKABALLAPURA,2013,308
CHIKMAGALUR,CHIKKAMANGALORE,2013,441
CHIKNAYAKANHALLI,TUMKUR,2013,357
CHIKODI,BELGAUM CHIKKODI,2013,323
CHINCHOLI,GULBARGA,2013,335
CHINTAMANI,CHIKKABALLAPURA,2013,452
CHITRADURGA,CHITRADURGA,2013,437
CHITTAPUR,GULBARGA,2013,399
DAVANAGERE(N),DAVANAGERE,2013,258
DAVANAGERE(S),DAVANAGERE,2013,306
DEVADURGA,RAICHUR,2013,365
DEVANAHALLI,BANGALORE RURAL,2013,277
DHARWAD,DHARWAD,2013,199
DODDABALLAPURA,BANGALORE RURAL,2013,426
GANGAVATHI,KOPPAL,2013,472
GOKAK,BELGAUM CHIKKODI,2013,227
GOWRIBIDANUR,CHIKKABALLAPURA,2013,365
GUBBI,TUMKUR,2013,429
GUDIBANDA,CHIKKABALLAPURA,2013,119
GUNDULPET,CHAMARAJANAGARA,2013,212
H.D.KOTE,MYSORE,2013,356
HADAGALI,BELLARY,2013,193
HAGARIBOMMANAHALLI,BELLARY,2013,172
HALIYAL,UTTARA KANNADA SIRSI,2013,183
HANAGAL,HAVERI,2013,264
HARAPANAHALLI,DAVANAGERE,2013,326
HARIHARA,DAVANAGERE,2013,212
HASSAN,HASSAN,2013,520
HAVERI,HAVERI,2013,230
HIREKERUR,HAVERI,2013,239
HIRIYUR,CHITRADURGA,2013,374
HOLALKERE,CHITRADURGA,2013,272
HOLENARASIPURA,HASSAN,2013,295
HONNALI,DAVANAGERE,2013,248
HONNAVAR,UTTARA KANNADA,2013,303
HOSADURGA,CHITRADURGA,2013,343
HOSAKOTE,BANGALORE RURAL,2013,337
HOSANAGAR,SHIMOGA,2013,244
HOSPET,BELLARY,2013,319
HUBLI,DHARWAD,2013,171
HUKKERI,BELGAUM CHIKKODI,2013,337
HUMNABAD,BIDAR,2013,372
HUNAGUND,BAGALKOT,2013,302
HUNSUR,MYSORE,2013,343
INDI,BIJAPUR,2013,357
JAMAKHANDI,BAGALKOT,2013,421
JEWARGI,GULBARGA,2013,328
JOIDA,UTTARA KANNADA SIRSI,2013,179
K.R.NAGARA,MYSORE,2013,269
KADUR,CHIKKAMANGALORE,2013,289
KALGHATAGI,DHARWAD,2013,140
KANAKAPURA,RAMANAGARA,2013,511
KARKALA,UDUPI,2013,219
KARWAR,UTTARA KANNADA,2013,199
KHANAPUR,BELGAUM,2013,367
KOLAR,KOLAR,2013,480
KOLLEGAL,CHAMARAJANAGARA,2013,136
KOPPA,CHIKKAMANGALORE,2013,150
KOPPAL,KOPPAL,2013,332
KORATAGERE,TUMKUR MADHUGIRI,2013,288
KRISHNARAJA PET,MANDYA,2013,381
KUDLIGI,BELLARY,2013,343
KUMTA,UTTARA KANNADA,2013,227
KUNDAGOL,DHARWAD,2013,127
KUNIGAL,TUMKUR,2013,465
KUSTAGI,KOPPAL,2013,272
LINGASUGUR,RAICHUR,2013,402
MADDUR,MANDYA,2013,309
MADHUGIRI,TUMKUR MADHUGIRI,2013,400
MADIKERI,KODAGU,2013,163
MAGADI,RAMANAGARA,2013,410
MALAVALLY,MANDYA,2013,305
MALUR,KOLAR,2013,359
MANVI,RAICHUR,2013,392
MOLAKALMUR,CHITRADURGA,2013,176
MOODIGERE,CHIKKAMANGALORE,2013,213
MUDDEBIHAL,BIJAPUR,2013,343
MUDHOL,BAGALKOT,2013,318
MULBAGAL,KOLAR,2013,438
MUNDAGOD,UTTARA KANNADA SIRSI,2013,147
MUNDARAGI,GADAG,2013,120
MYSORE RURAL,MYSORE,2013,332
NAGAMANGALA,MANDYA,2013,360
NANJANAGUD,MYSORE,2013,315
NARAGUND,GADAG,2013,74
NARASIMHARAJAPURA,CHIKKAMANGALORE,2013,118
NAVALGUND,DHARWAD,2013,142
NELAMANGALA,BANGALORE RURAL,2013,331
NIPPANI,BELGAUM CHIKKODI,2013,247
PANDAVAPURA,MANDYA,2013,220
PAVAGADA,TUMKUR MADHUGIRI,2013,281
PERIYA PATNA,MYSORE,2013,320
PUTTUR,DAKSHINA KANNADA,2013,235
RAIBAG,BELGAUM CHIKKODI,2013,441
RAICHUR,RAICHUR,2013,416
RAMANAGARA,RAMANAGARA,2013,353
RAMDURG,BELGAUM,2013,258
RON,GADAG,2013,209
SAGAR,SHIMOGA,2013,363
SAKALESHAPURA,HASSAN,2013,210
SANDUR,BELLARY,2013,203
SAVANUR,HAVERI,2013,140
SEDAM,GULBARGA,2013,287
SHAHAPUR,YADAGIRI,2013,378
SHIGGOAN,HAVERI,2013,194
SHIKARIPUR,SHIMOGA,2013,285
SHIMOGA,SHIMOGA,2013,499
SHIRHATTI,GADAG,2013,176
SHORAPUR,YADAGIRI,2013,445
SIDDAPUR,UTTARA KANNADA SIRSI,2013,231
SIDLAGHATTA,CHIKKABALLAPURA,2013,310
SINDAGI,BIJAPUR,2013,474
SINDHANUR,RAICHUR,2013,437
SIRA,TUMKUR MADHUGIRI,2013,486
SIRSI,UTTARA KANNADA SIRSI,2013,320
SIRUGUPPA,BELLARY,2013,237
SOMAVARPET,KODAGU,2013,202
SORAB,SHIMOGA,2013,330
SOUNDATTI,BELGAUM,2013,290
SRINGERI,CHIKKAMANGALORE,2013,76
SRINIVASAPUR,KOLAR,2013,360
SRIRANGA PATNA,MANDYA,2013,178
SULLIA,DAKSHINA KANNADA,2013,167
T.N.PURA,MYSORE,2013,269
TARIKERE,CHIKKAMANGALORE,2013,286
THIRTHAHALLI,SHIMOGA,2013,248
TIPTUR,TUMKUR,2013,319
TUMKUR,TUMKUR,2013,646
TURUVEKERE,TUMKUR,2013,321
UDUPI,UDUPI,2013,172
VIRAJPET,KODAGU,2013,177
YADGIR,YADAGIRI,2013,389
YELANDUR,CHAMARAJANAGARA,2013,77
YELBURGA,KOPPAL,2013,260
YELLAPUR,UTTARA KANNADA SIRSI,2013,193
