Block_Name,District,Year,Schools
DODDABALLAPURA,BANGALORE RURAL,2006,400
GANGAVATHI,KOPPAL,2006,398
GOKAK,BELGAUM CHIKKODI,2006,460
GOWRIBIDANUR,CHIKKABALLAPURA,2006,353
GUBBI,TUMKUR,2006,437
GUDIBANDA,CHIKKABALLAPURA,2006,108
GUNDULPET,CHAMARAJANAGARA,2006,200
H.D.KOTE,MYSORE,2006,353
HADAGALI,BELLARY,2006,174
HAGARIBOMMANAHALLI,BELLARY,2006,158
HALIYAL,UTTARA KANNADA SIRSI,2006,178
HANAGAL,HAVERI,2006,246
HARAPANAHALLI,DAVANAGERE,2006,303
HARIHARA,DAVANAGERE,2006,206
HASSAN,HASSAN,2006,554
HAVERI,HAVERI,2006,188
HIREKERUR,HAVERI,2006,217
HIRIYUR,CHITRADURGA,2006,325
HOLALKERE,CHITRADURGA,2006,256
HOLENARASIPURA,HASSAN,2006,294
HONNALI,DAVANAGERE,2006,245
HONNAVAR,UTTARA KANNADA,2006,300
HOSADURGA,CHITRADURGA,2006,323
HOSAKOTE,BANGALORE RURAL,2006,307
HOSANAGAR,SHIMOGA,2006,241
HOSPET,BELLARY,2006,290
HUBLI,DHARWAD,2006,355
HUKKERI,BELGAUM CHIKKODI,2006,293
HUMNABAD,BIDAR,2006,272
HUNAGUND,BAGALKOT,2006,271
HUNSUR,MYSORE,2006,326
INDI,BIJAPUR,2006,435
JAMAKHANDI,BAGALKOT,2006,354
JEWARGI,GULBARGA,2006,236
JOIDA,UTTARA KANNADA SIRSI,2006,175
K.R.NAGARA,MYSORE,2006,264
KADUR,CHIKKAMANGALORE,2006,441
KALGHATAGI,DHARWAD,2006,129
KANAKAPURA,RAMANAGARA,2006,497
KARKALA,UDUPI,2006,210
KARWAR,UTTARA KANNADA,2006,195
KHANAPUR,BELGAUM,2006,341
KOLAR,KOLAR,2006,470
KOLLEGAL,CHAMARAJANAGARA,2006,431
KOPPA,CHIKKAMANGALORE,2006,157
KOPPAL,KOPPAL,2006,260
KORATAGERE,TUMKUR MADHUGIRI,2006,279
KRISHNARAJA PET,MANDYA,2006,382
KUDLIGI,BELLARY,2006,315
KUMTA,UTTARA KANNADA,2006,228
KUNDAGOL,DHARWAD,2006,114
KUNIGAL,TUMKUR,2006,468
KUSTAGI,KOPPAL,2006,228
LINGASUGUR,RAICHUR,2006,323
MADDUR,MANDYA,2006,306
MADHUGIRI,TUMKUR MADHUGIRI,2006,394
MADIKERI,KODAGU,2006,155
MAGADI,RAMANAGARA,2006,432
MALAVALLY,MANDYA,2006,307
MALUR,KOLAR,2006,364
MANVI,RAICHUR,2006,300
MOLAKALMUR,CHITRADURGA,2006,154
MOODIGERE,CHIKKAMANGALORE,2006,230
MUDDEBIHAL,BIJAPUR,2006,271
MUDHOL,BAGALKOT,2006,265
MULBAGAL,KOLAR,2006,428
MUNDAGOD,UTTARA KANNADA SIRSI,2006,136
MUNDARAGI,GADAG,2006,108
MYSORE RURAL,MYSORE,2006,285
NAGAMANGALA,MANDYA,2006,396
NANJANAGUD,MYSORE,2006,308
NARAGUND,GADAG,2006,65
NARASIMHARAJAPURA,CHIKKAMANGALORE,2006,115
NAVALGUND,DHARWAD,2006,125
NELAMANGALA,BANGALORE RURAL,2006,337
NIPPANI,BELGAUM CHIKKODI,2006,230
PANDAVAPURA,MANDYA,2006,215
PAVAGADA,TUMKUR MADHUGIRI,2006,274
PERIYA PATNA,MYSORE,2006,306
PUTTUR,DAKSHINA KANNADA,2006,219
RAIBAG,BELGAUM CHIKKODI,2006,374
RAICHUR,RAICHUR,2006,326
RAMANAGARA,RAMANAGARA,2006,342
RAMDURG,BELGAUM,2006,231
RON,GADAG,2006,195
SAGAR,SHIMOGA,2006,336
SAKALESHAPURA,HASSAN,2006,207
SANDUR,BELLARY,2006,184
SAVANUR,HAVERI,2006,119
SEDAM,GULBARGA,2006,239
SHAHAPUR,YADAGIRI,2006,271
SHIGGOAN,HAVERI,2006,171
SHIKARIPUR,SHIMOGA,2006,259
SHIMOGA,SHIMOGA,2006,443
SHIRHATTI,GADAG,2006,156
SHORAPUR,YADAGIRI,2006,370
SIDDAPUR,UTTARA KANNADA SIRSI,2006,231
SIDLAGHATTA,CHIKKABALLAPURA,2006,284
SINDAGI,BIJAPUR,2006,332
SINDHANUR,RAICHUR,2006,342
SIRA,TUMKUR MADHUGIRI,2006,437
SIRSI,UTTARA KANNADA SIRSI,2006,297
SIRUGUPPA,BELLARY,2006,224
SOMAVARPET,KODAGU,2006,184
SORAB,SHIMOGA,2006,324
SOUNDATTI,BELGAUM,2006,263
SRINGERI,CHIKKAMANGALORE,2006,80
SRINIVASAPUR,KOLAR,2006,374
SRIRANGA PATNA,MANDYA,2006,166
SULLIA,DAKSHINA KANNADA,2006,164
T.N.PURA,MYSORE,2006,267
TARIKERE,CHIKKAMANGALORE,2006,335
THIRTHAHALLI,SHIMOGA,2006,272
TIPTUR,TUMKUR,2006,337
TUMKUR,TUMKUR,2006,665
TURUVEKERE,TUMKUR,2006,341
UDUPI,UDUPI,2006,356
VIRAJPET,KODAGU,2006,178
YADGIR,YADAGIRI,2006,293
YELANDUR,CHAMARAJANAGARA,2006,72
YELBURGA,KOPPAL,2006,198
YELLAPUR,UTTARA KANNADA SIRSI,2006,186
AFZALPUR,GULBARGA,2007,179
ALAND,GULBARGA,2007,302
ALUR,HASSAN,2007,197
ANKOLA,UTTARA KANNADA,2007,171
ARAKALAGUDU,HASSAN,2007,356
ARASIKERE,HASSAN,2007,486
ATHANI,BELGAUM CHIKKODI,2007,372
AURAD,BIDAR,2007,301
BADAMI,BAGALKOT,2007,283
BAGALKOT,BAGALKOT,2007,220
BAGEPALLY,CHIKKABALLAPURA,2007,345
BAILHONGAL,BELGAUM,2007,270
BANGARAPETE,KOLAR,2007,442
BANTWAL,DAKSHINA KANNADA,2007,289
BASAVAKALYAN,BIDAR,2007,286
BASAVAN  BAGEWADI,BIJAPUR,2007,326
BELGAUM CITY,BELGAUM,2007,212
BELGAUM RURAL.,BELGAUM,2007,316
BELTHANGADY,DAKSHINA KANNADA,2007,222
BELUR,HASSAN,2007,353
BHADRAVATI,SHIMOGA,2007,354
BHALKI,BIDAR,2007,328
BHATKAL,UTTARA KANNADA,2007,188
BIDAR,BIDAR,2007,419
BILAGI,BAGALKOT,2007,157
BYADAGI,HAVERI,2007,119
CHALLAKERE,CHITRADURGA,2007,398
CHAMARAJA NAGAR,CHAMARAJANAGARA,2007,319
CHANNAGIRI,DAVANAGERE,2007,342
CHANNAPATNA,RAMANAGARA,2007,277
CHANNARAYAPATNA,HASSAN,2007,472
CHIKKABALLAPUR,CHIKKABALLAPURA,2007,288
CHIKMAGALUR,CHIKKAMANGALORE,2007,470
CHIKNAYAKANHALLI,TUMKUR,2007,375
CHIKODI,BELGAUM CHIKKODI,2007,294
CHINCHOLI,GULBARGA,2007,273
CHINTAMANI,CHIKKABALLAPURA,2007,414
CHITRADURGA,CHITRADURGA,2007,411
CHITTAPUR,GULBARGA,2007,325
DAVANAGERE(N),DAVANAGERE,2007,247
DAVANAGERE(S),DAVANAGERE,2007,287
DEVADURGA,RAICHUR,2007,255
DEVANAHALLI,BANGALORE RURAL,2007,256
DHARWAD,DHARWAD,2007,203
DODDABALLAPURA,BANGALORE RURAL,2007,416
GANGAVATHI,KOPPAL,2007,422
GOKAK,BELGAUM CHIKKODI,2007,189
GOWRIBIDANUR,CHIKKABALLAPURA,2007,359
GUBBI,TUMKUR,2007,446
GUDIBANDA,CHIKKABALLAPURA,2007,110
GUNDULPET,CHAMARAJANAGARA,2007,209
H.D.KOTE,MYSORE,2007,350
HADAGALI,BELLARY,2007,180
HAGARIBOMMANAHALLI,BELLARY,2007,156
HALIYAL,UTTARA KANNADA SIRSI,2007,181
HANAGAL,HAVERI,2007,247
HARAPANAHALLI,DAVANAGERE,2007,310
HARIHARA,DAVANAGERE,2007,207
HASSAN,HASSAN,2007,549
HAVERI,HAVERI,2007,196
HIREKERUR,HAVERI,2007,225
HIRIYUR,CHITRADURGA,2007,336
HOLALKERE,CHITRADURGA,2007,259
HOLENARASIPURA,HASSAN,2007,297
HONNALI,DAVANAGERE,2007,249
HONNAVAR,UTTARA KANNADA,2007,299
HOSADURGA,CHITRADURGA,2007,326
HOSAKOTE,BANGALORE RURAL,2007,310
HOSANAGAR,SHIMOGA,2007,246
HOSPET,BELLARY,2007,290
HUBLI,DHARWAD,2007,148
HUKKERI,BELGAUM CHIKKODI,2007,284
HUMNABAD,BIDAR,2007,274
HUNAGUND,BAGALKOT,2007,283
HUNSUR,MYSORE,2007,334
INDI,BIJAPUR,2007,316
JAMAKHANDI,BAGALKOT,2007,363
JEWARGI,GULBARGA,2007,247
JOIDA,UTTARA KANNADA SIRSI,2007,171
K.R.NAGARA,MYSORE,2007,265
KADUR,CHIKKAMANGALORE,2007,298
KALGHATAGI,DHARWAD,2007,132
KANAKAPURA,RAMANAGARA,2007,505
KARKALA,UDUPI,2007,215
KARWAR,UTTARA KANNADA,2007,191
KHANAPUR,BELGAUM,2007,347
KOLAR,KOLAR,2007,480
KOLLEGAL,CHAMARAJANAGARA,2007,122
KOPPA,CHIKKAMANGALORE,2007,157
KOPPAL,KOPPAL,2007,271
KORATAGERE,TUMKUR MADHUGIRI,2007,283
KRISHNARAJA PET,MANDYA,2007,378
KUDLIGI,BELLARY,2007,324
KUMTA,UTTARA KANNADA,2007,228
KUNDAGOL,DHARWAD,2007,114
KUNIGAL,TUMKUR,2007,471
KUSTAGI,KOPPAL,2007,238
LINGASUGUR,RAICHUR,2007,333
MADDUR,MANDYA,2007,307
MADHUGIRI,TUMKUR MADHUGIRI,2007,400
MADIKERI,KODAGU,2007,157
MAGADI,RAMANAGARA,2007,436
MALAVALLY,MANDYA,2007,306
MALUR,KOLAR,2007,365
MANVI,RAICHUR,2007,312
MOLAKALMUR,CHITRADURGA,2007,160
MOODIGERE,CHIKKAMANGALORE,2007,228
MUDDEBIHAL,BIJAPUR,2007,286
MUDHOL,BAGALKOT,2007,282
MULBAGAL,KOLAR,2007,433
MUNDAGOD,UTTARA KANNADA SIRSI,2007,141
MUNDARAGI,GADAG,2007,110
MYSORE RURAL,MYSORE,2007,286
NAGAMANGALA,MANDYA,2007,396
NANJANAGUD,MYSORE,2007,311
NARAGUND,GADAG,2007,68
NARASIMHARAJAPURA,CHIKKAMANGALORE,2007,114
NAVALGUND,DHARWAD,2007,128
NELAMANGALA,BANGALORE RURAL,2007,338
NIPPANI,BELGAUM CHIKKODI,2007,229
PANDAVAPURA,MANDYA,2007,217
PAVAGADA,TUMKUR MADHUGIRI,2007,277
PERIYA PATNA,MYSORE,2007,312
PUTTUR,DAKSHINA KANNADA,2007,226
RAIBAG,BELGAUM CHIKKODI,2007,378
RAICHUR,RAICHUR,2007,351
RAMANAGARA,RAMANAGARA,2007,361
RAMDURG,BELGAUM,2007,225
RON,GADAG,2007,201
SAGAR,SHIMOGA,2007,348
SAKALESHAPURA,HASSAN,2007,210
SANDUR,BELLARY,2007,188
SAVANUR,HAVERI,2007,122
SEDAM,GULBARGA,2007,246
SHAHAPUR,YADAGIRI,2007,305
SHIGGOAN,HAVERI,2007,173
SHIKARIPUR,SHIMOGA,2007,269
SHIMOGA,SHIMOGA,2007,464
SHIRHATTI,GADAG,2007,160
SHORAPUR,YADAGIRI,2007,380
SIDDAPUR,UTTARA KANNADA SIRSI,2007,230
SIDLAGHATTA,CHIKKABALLAPURA,2007,284
SINDAGI,BIJAPUR,2007,380
SINDHANUR,RAICHUR,2007,370
SIRA,TUMKUR MADHUGIRI,2007,450
SIRSI,UTTARA KANNADA SIRSI,2007,304
SIRUGUPPA,BELLARY,2007,230
SOMAVARPET,KODAGU,2007,186
SORAB,SHIMOGA,2007,330
SOUNDATTI,BELGAUM,2007,245
SRINGERI,CHIKKAMANGALORE,2007,80
SRINIVASAPUR,KOLAR,2007,375
SRIRANGA PATNA,MANDYA,2007,171
SULLIA,DAKSHINA KANNADA,2007,165
T.N.PURA,MYSORE,2007,265
TARIKERE,CHIKKAMANGALORE,2007,301
THIRTHAHALLI,SHIMOGA,2007,275
TIPTUR,TUMKUR,2007,345
TUMKUR,TUMKUR,2007,685
TURUVEKERE,TUMKUR,2007,346
UDUPI,UDUPI,2007,185
VIRAJPET,KODAGU,2007,177
YADGIR,YADAGIRI,2007,300
YELANDUR,CHAMARAJANAGARA,2007,70
YELBURGA,KOPPAL,2007,221
YELLAPUR,UTTARA KANNADA SIRSI,2007,191
AFZALPUR,GULBARGA,2008,195
ALAND,GULBARGA,2008,311
ALUR,HASSAN,2008,195
ANKOLA,UTTARA KANNADA,2008,174
ARAKALAGUDU,HASSAN,2008,358
ARASIKERE,HASSAN,2008,494
ATHANI,BELGAUM CHIKKODI,2008,398
AURAD,BIDAR,2008,321
BADAMI,BAGALKOT,2008,287
BAGALKOT,BAGALKOT,2008,232
BAGEPALLY,CHIKKABALLAPURA,2008,350
BAILHONGAL,BELGAUM,2008,284
BANGARAPETE,KOLAR,2008,375
BANTWAL,DAKSHINA KANNADA,2008,295
BASAVAKALYAN,BIDAR,2008,308
BASAVAN  BAGEWADI,BIJAPUR,2008,339
BELGAUM CITY,BELGAUM,2008,240
BELGAUM RURAL.,BELGAUM,2008,326
BELTHANGADY,DAKSHINA KANNADA,2008,227
BELUR,HASSAN,2008,359
BHADRAVATI,SHIMOGA,2008,355
BHALKI,BIDAR,2008,335
BHATKAL,UTTARA KANNADA,2008,198
BIDAR,BIDAR,2008,438
BILAGI,BAGALKOT,2008,157
BYADAGI,HAVERI,2008,124
CHALLAKERE,CHITRADURGA,2008,430
CHAMARAJA NAGAR,CHAMARAJANAGARA,2008,325
CHANNAGIRI,DAVANAGERE,2008,348
CHANNAPATNA,RAMANAGARA,2008,280
CHANNARAYAPATNA,HASSAN,2008,473
CHIKKABALLAPUR,CHIKKABALLAPURA,2008,302
CHIKMAGALUR,CHIKKAMANGALORE,2008,440
CHIKNAYAKANHALLI,TUMKUR,2008,360
CHIKODI,BELGAUM CHIKKODI,2008,299
CHINCHOLI,GULBARGA,2008,298
CHINTAMANI,CHIKKABALLAPURA,2008,429
CHITRADURGA,CHITRADURGA,2008,409
CHITTAPUR,GULBARGA,2008,376
DAVANAGERE(N),DAVANAGERE,2008,244
DAVANAGERE(S),DAVANAGERE,2008,281
DEVADURGA,RAICHUR,2008,331
DEVANAHALLI,BANGALORE RURAL,2008,262
DHARWAD,DHARWAD,2008,205
DODDABALLAPURA,BANGALORE RURAL,2008,407
GANGAVATHI,KOPPAL,2008,418
GOKAK,BELGAUM CHIKKODI,2008,199
GOWRIBIDANUR,CHIKKABALLAPURA,2008,356
GUBBI,TUMKUR,2008,452
GUDIBANDA,CHIKKABALLAPURA,2008,112
GUNDULPET,CHAMARAJANAGARA,2008,210
H.D.KOTE,MYSORE,2008,351
HADAGALI,BELLARY,2008,181
HAGARIBOMMANAHALLI,BELLARY,2008,161
HALIYAL,UTTARA KANNADA SIRSI,2008,183
HANAGAL,HAVERI,2008,257
HARAPANAHALLI,DAVANAGERE,2008,311
HARIHARA,DAVANAGERE,2008,205
HASSAN,HASSAN,2008,546
HAVERI,HAVERI,2008,196
HIREKERUR,HAVERI,2008,232
HIRIYUR,CHITRADURGA,2008,367
HOLALKERE,CHITRADURGA,2008,267
HOLENARASIPURA,HASSAN,2008,295
HONNALI,DAVANAGERE,2008,250
HONNAVAR,UTTARA KANNADA,2008,303
HOSADURGA,CHITRADURGA,2008,339
HOSAKOTE,BANGALORE RURAL,2008,314
HOSANAGAR,SHIMOGA,2008,245
HOSPET,BELLARY,2008,295
HUBLI,DHARWAD,2008,152
HUKKERI,BELGAUM CHIKKODI,2008,320
HUMNABAD,BIDAR,2008,277
HUNAGUND,BAGALKOT,2008,281
HUNSUR,MYSORE,2008,336
INDI,BIJAPUR,2008,320
JAMAKHANDI,BAGALKOT,2008,373
JEWARGI,GULBARGA,2008,264
JOIDA,UTTARA KANNADA SIRSI,2008,171
K.R.NAGARA,MYSORE,2008,269
KADUR,CHIKKAMANGALORE,2008,283
KALGHATAGI,DHARWAD,2008,135
KANAKAPURA,RAMANAGARA,2008,507
KARKALA,UDUPI,2008,217
KARWAR,UTTARA KANNADA,2008,190
KHANAPUR,BELGAUM,2008,355
KOLAR,KOLAR,2008,481
KOLLEGAL,CHAMARAJANAGARA,2008,130
KOPPA,CHIKKAMANGALORE,2008,152
KOPPAL,KOPPAL,2008,285
KORATAGERE,TUMKUR MADHUGIRI,2008,284
KRISHNARAJA PET,MANDYA,2008,386
KUDLIGI,BELLARY,2008,326
KUMTA,UTTARA KANNADA,2008,232
KUNDAGOL,DHARWAD,2008,118
KUNIGAL,TUMKUR,2008,465
KUSTAGI,KOPPAL,2008,243
LINGASUGUR,RAICHUR,2008,363
MADDUR,MANDYA,2008,305
MADHUGIRI,TUMKUR MADHUGIRI,2008,391
