,Block_Name,X,Year,Marks1,Marks2,Marks3,Marks4,Marks5,Marks6,Total,Dist_Name,Rural_Urban,No_of_Working_Days,No_of_Acad_Inspection,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Tot_Clrooms,Toilet_Girls,Electricity,Library,PlayGround,Male_Tch,Female_Tch,Graduate_Teachers,Tch_with_Prof_Qual,Days_involved_in_non_tch_assgn,Teachers_involved_in_non_tch_assgn,Public,Split,Households,TotPop,Pop0.6,Literates,TotWPop,SCST,District,Yr2005,Yr2006,Yr2007,Yr2008,Yr2009,Yr2010,Yr2011,Yr2012,Yr2013,SchoolperPop2005,SchoolperPop2006,SchoolperPop2007,SchoolperPop2008,SchoolperPop2009,SchoolperPop2010,SchoolperPop2011,SchoolperPop2012,SchoolperPop2013
21,CHALLAKERE,181,2005,70.66089072,44.5691835,56.6877679,47.9759937,54.41296394,59.41908875,333.7258885,CHITRADURGA,0.899742931,91.08997429,0.370179949,2914.598972,1396.719794,4383.367609,1489.616967,3.588688946,1,0.5218509,0.681233933,0.539845758,2.210796915,1.53470437,49.3059126,3.740359897,0,0,0.925449871,0,62708,332718,46959,168236,164719,167418,CHITRADURGA,389,395,398,430,432,437,520,449,450,1.169158266,1.187191556,1.1962082,1.292385744,1.298396841,1.313424582,1.562885086,1.349491161,1.352496709
22,CHAMARAJA NAGAR,190,2005,70.35961813,37.31405884,52.44507887,34.69960796,42.16134809,49.80915375,286.7888656,CHAMARAJANAGARA,0.916010499,96.82677165,0.582677165,2403.417323,1529.188976,3405.380577,1777.461942,4.393700787,1,0.87664042,0.923884514,0.551181102,1.992125984,1.664041995,191.9160105,3.343832021,0,0,0.88976378,0,72080,337571,38996,146815,149586,111723,CHAMARAJANAGARA,381,313,319,325,326,329,394,329,329,1.128651454,0.927212349,0.944986388,0.962760427,0.965722766,0.974609786,1.167161871,0.974609786,0.974609786
23,CHANNAGIRI,199,2005,68.53040518,37.04718756,51.8014041,35.36571662,44.83365147,52.80962082,290.3879857,DAVANAGERE,0.945619335,90.06646526,0.268882175,2792.072508,1526.592145,3793.975831,1473.546828,4.172205438,1,0.601208459,0.839879154,0.607250755,3.003021148,1.634441088,9.598187311,4.625377644,0,0,0.873111782,0,54933,292507,37972,168244,122617,105318,DAVANAGERE,331,334,342,348,348,351,423,343,345,1.131596851,1.141853015,1.169202788,1.189715118,1.189715118,1.199971283,1.446119238,1.17262151,1.179458953
24,CHIKKABALLAPUR,215,2005,72.28675415,45.51955294,60.56044199,47.73988285,51.49298169,58.12799437,335.727608,CHIKKABALLAPURA,0.867595819,119.3937282,0.236933798,2763,1708.993031,3613.1777,2083.912892,3.735191638,1,0.595818815,0.599303136,0.554006969,1.547038328,2.198606272,25.2369338,3.344947735,3.243902439,0.554006969,0.846689895,1,38465,191122,24849,107496,92342,65062,CHIKKABALLAPURA,287,281,288,302,303,310,345,315,308,1.501658626,1.470265066,1.506890886,1.580142527,1.585374787,1.622000607,1.805129708,1.648161907,1.611536087
25,CHIKMAGALUR,224,2005,78.96841021,46.87727981,58.95395993,41.11488852,45.83833768,53.15408256,324.9069587,CHIKKAMANGALORE,0.805687204,80,0.713270142,2468.521327,1266.824645,3569.729858,1503.154028,3.236966825,1,0.765402844,0.694312796,0.523696682,1.438388626,2.05450237,57.59241706,3.36492891,0,0,0.876777251,0,64268,295565,37383,195552,126871,69973,CHIKKAMANGALORE,422,467,470,440,427,436,502,438,441,1.427773925,1.580024698,1.59017475,1.488674234,1.444690677,1.475140832,1.698441967,1.481907533,1.492057585
26,CHIKNAYAKANHALLI,233,2005,74.49612986,35.07488478,54.40007171,37.76297998,41.75813451,49.17970156,292.6719024,TUMKUR,0.963888889,103.8305556,0.383333333,2357.694444,598.4666667,1342.225,349.0194444,2.966666667,1,0.427777778,0.827777778,0.502777778,1.830555556,1.536111111,14.29722222,3.227777778,9.211111111,2.05,0.919444444,0,45896,209622,24494,129954,104749,52511,TUMKUR,360,368,375,360,356,353,411,358,357,1.717376993,1.755540926,1.788934368,1.717376993,1.698295026,1.683983551,1.960672067,1.70783601,1.703065518
27,CHIKODI,242,2005,78.49774517,47.60266054,61.41873861,44.81837853,51.27448722,58.42289587,342.0349059,BELGAUM CHIKKODI,0.90625,0,0,0,0,0,0,0,1,0.420138889,0.388888889,0.704861111,3.111111111,1.715277778,15.19791667,4.618055556,0,0,0.90625,0,113184,567601,76653,335278,265896,92963,BELGAUM CHIKKODI,288,298,294,299,315,325,369,319,323,0.507398683,0.525016693,0.517969489,0.526778494,0.55496731,0.57258532,0.650104563,0.562014514,0.569061718
28,CHINCHOLI,251,2005,54.98910212,30.91674116,44.53669746,28.29000108,32.12640918,40.78899076,231.6479418,GULBARGA,0.96484375,92.8046875,0.41015625,2598.414063,1586.398438,4544.53125,2835.542969,3.28515625,1,0.4921875,0.515625,0.53125,2.5625,1.23046875,51.71484375,3.5546875,0,0,0.9375,1,39617,223646,38378,90074,112019,79490,GULBARGA,256,259,273,298,307,314,359,326,335,1.144666124,1.15808018,1.220679109,1.33246291,1.372705079,1.404004543,1.605215385,1.457660767,1.497902936
29,CHINTAMANI,260,2005,76.82976006,45.31564601,62.00639234,44.88732509,49.69031306,60.81066036,339.5400969,CHIKKABALLAPURA,0.914942529,118.4551724,0.328735632,2544.664368,1635.804598,3600.595402,2011.806897,3.717241379,1,0.92183908,0.912643678,0.92183908,1.926436782,1.659770115,19.04137931,3.154022989,6.140229885,1.726436782,0.871264368,1,54460,271284,34874,142976,138975,91571,CHIKKABALLAPURA,435,410,414,429,439,436,514,454,452,1.603485646,1.511331299,1.526075994,1.581368603,1.618230342,1.60717182,1.894693384,1.67352295,1.666150602
30,CHITRADURGA,269,2005,70.84346008,44.93466685,57.07629044,45.75213175,50.40846103,58.61542445,327.6304346,CHITRADURGA,0.815856777,93.33503836,0.52685422,2641.785166,1049.716113,3441.138107,1153.097187,4.260869565,1,0.565217391,0.861892583,0.626598465,2.071611253,3.038363171,13.7084399,5.061381074,0,0,0.872122762,0,72850,376506,48051,235754,158322,146404,CHITRADURGA,391,405,411,409,420,425,520,434,437,1.038496066,1.075680069,1.09161607,1.08630407,1.115520071,1.128800072,1.381120088,1.152704074,1.160672074
31,CHITTAPUR,278,2005,58.99204504,41.20259342,59.18850919,40.45821828,43.65218229,50.84292922,294.3364775,GULBARGA,0.78125,97.940625,0.690625,2534.3625,1052.934375,4535.565625,2182.41875,3.865625,1,0.371875,0.703125,0.528125,1.4625,2.053125,41.359375,3.246875,0,0,0.86875,1,63214,366802,61518,151227,141221,113195,GULBARGA,320,324,325,376,358,368,472,394,399,0.872405276,0.883310342,0.886036608,1.025076199,0.976003402,1.003266067,1.286797782,1.074148996,1.087780328
32,DEVADURGA,305,2005,69.78471484,40.62069193,58.93672691,43.39761955,53.51613569,55.69719674,321.9530857,RAICHUR,0.906122449,86.24081633,0.918367347,2313.955102,1822.983673,3708.35102,2234.408163,3.514285714,1,0.342857143,0.706122449,0.616326531,2.32244898,1.057142857,0.730612245,3.236734694,0,0,0.930612245,0,36709,222457,40747,69553,89069,119259,RAICHUR,245,249,255,331,347,352,389,364,365,1.101336438,1.119317441,1.146288946,1.487928004,1.559852016,1.58232827,1.748652549,1.636271279,1.64076653
33,DEVANAHALLI,314,2005,75.32269328,39.42786783,54.85891823,38.84833836,44.41227864,53.38309256,306.2531889,BANGALORE RURAL,0.941176471,82.94117647,0.290196078,2063.776471,620.2196078,809.7529412,218.7215686,3.490196078,1,0.784313725,0.88627451,0.462745098,1.847058824,2.062745098,16.02352941,2.584313725,0,0,0.882352941,1,36013,185326,23440,110358,88533,61381,BANGALORE RURAL,255,251,256,262,269,265,305,274,277,1.375953725,1.354370137,1.381349622,1.413725004,1.451496282,1.429912694,1.645748573,1.478475767,1.494663458
34,DHARWAD,323,2005,67.27430966,42.25452798,58.1721541,41.9098594,49.77538021,57.85291261,317.239144,DHARWAD,0.648829431,78.80267559,0.866220736,2113.692308,1611.438127,3964.762542,3171.093645,5.287625418,1,0.906354515,0.779264214,0.846153846,1.762541806,4.297658863,22.28762542,5.571906355,0,0,0.819397993,0,39138,218961,32373,110492,111219,27006,DHARWAD,299,310,203,205,213,194,228,196,199,1.365539982,1.415777239,0.92710574,0.936239787,0.972775974,0.88600253,1.041281324,0.895136577,0.908837647
35,DODDABALLAPURA,332,2005,76.00559202,39.86258025,55.43930107,39.80149854,44.70507972,55.10467752,310.9187291,BANGALORE RURAL,0.875609756,91.74634146,0.290243902,2540.856098,751.5804878,4177.926829,1154.056098,3.170731707,1,0.717073171,0.880487805,0.402439024,1.995121951,1.468292683,17.56829268,3.207317073,0,0,0.931707317,1,55774,268332,34152,161902,127843,66337,BANGALORE RURAL,410,400,416,407,408,405,450,429,426,1.527957903,1.490690637,1.550318262,1.516777723,1.52050445,1.50932427,1.677026967,1.598765708,1.587585528
36,GANGAVATHI,341,2005,69.22612843,40.27984013,55.25079379,38.80620778,43.18302904,50.84701039,297.5930096,KOPPAL,0.960212202,84.72679045,0.610079576,1711.400531,1283.278515,4230.132626,3094.458886,3.517241379,1,0.785145889,0.893899204,0.877984085,2.702917772,1.835543767,27.85676393,4.029177719,0,0,0.769230769,0,73588,406334,69116,179045,175149,122707,KOPPAL,377,398,422,418,418,432,516,467,472,0.927808158,0.979489779,1.03855449,1.028710371,1.028710371,1.063164786,1.269891272,1.149300821,1.161605969
37,GOKAK,350,2005,80.50940959,54.5684241,73.77385709,57.9651432,64.82667873,70.42529812,402.0688108,BELGAUM CHIKKODI,0.869976359,32.41843972,0.401891253,1113.947991,801.463357,1401.182033,1275.052009,1.921985816,1,0.399527187,0.687943262,0.791962175,2.959810875,2.153664303,18.22695035,4.808510638,0,0,0.817966903,0,92539,526092,85696,245330,227005,99412,BELGAUM CHIKKODI,423,460,189,199,220,218,260,225,227,0.804041879,0.874371783,0.359252754,0.378260837,0.418177809,0.414376193,0.494210138,0.42768185,0.431483467
38,GOWRIBIDANUR,359,2005,62.64024873,35.64966661,48.96991965,34.54732381,41.49589559,47.38586426,270.6889186,CHIKKABALLAPURA,0.953168044,109.84573,0.220385675,2331.939394,1139.055096,4165.550964,1620.134986,3.922865014,1,0.506887052,0.85399449,0.415977961,2.435261708,1.476584022,14.55096419,3.515151515,3.867768595,0.228650138,0.889807163,1,59400,271119,35462,139718,142644,105807,CHIKKABALLAPURA,363,353,359,356,356,359,415,365,365,1.338895467,1.302011294,1.324141798,1.313076546,1.313076546,1.324141798,1.530693164,1.346272301,1.346272301
39,GUBBI,368,2005,74.41138306,39.2119335,58.41866132,43.38413731,48.46836977,57.6514813,321.5459663,TUMKUR,0.95423341,104.2105263,0.372997712,2701.372998,803.2379863,1408.924485,487.4141876,3.006864989,1,0.361556064,0.789473684,0.453089245,1.66590389,1.661327231,11.91533181,3.290617849,4.249427918,0.796338673,0.95194508,0,54688,256413,29616,153177,136850,58973,TUMKUR,437,437,446,452,450,436,490,431,429,1.704281764,1.704281764,1.739381389,1.762781138,1.754981222,1.700381806,1.910979553,1.680882015,1.673082098
