"","Block_Name","X","Year","Marks1","Marks2","Marks3","Marks4","Marks5","Marks6","Total","Dist_Name","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","Public","Split","Households","TotPop","Pop0.6","Literates","TotWPop","SCST","District","Yr2005","Yr2006","Yr2007","Yr2008","Yr2009","Yr2010","Yr2011","Yr2012","Yr2013","SchoolperPop2005","SchoolperPop2006","SchoolperPop2007","SchoolperPop2008","SchoolperPop2009","SchoolperPop2010","SchoolperPop2011","SchoolperPop2012","SchoolperPop2013"
"21","CHALLAKERE",189,2013,70.80952381,NA,54.38095238,47.35714286,53.30952381,63.69047619,337.547619,"CHITRADURGA",0.875555556,0,0.568888889,7461.444444,7379.797778,1697.666667,1693.222222,4.12,1,0.984444444,0.977777778,0.628888889,2.095555556,1.92,0.357777778,4.011111111,0.006666667,0.002222222,0.9,0,64311,310590,35489,183979,177113,167405,"CHITRADURGA",389,395,398,430,432,437,520,449,450,1.2524550049905,1.27177307704691,1.28143211307512,1.3844618307093,1.39090118806143,1.40699958144177,1.67423291155543,1.44563572555459,1.44885540423066
"22","CHAMARAJA NAGAR",198,2013,75.23728814,NA,58.3559322,44.54237288,49.20338983,61.18644068,336.6779661,"CHAMARAJANAGARA",0.829787234,3.036474164,4.221884498,9297.361702,7093.072948,1247.62614,1177.817629,5.139817629,1,0.939209726,0.993920973,0.492401216,2.20668693,2.416413374,1.319148936,4.522796353,0,0,0.841945289,0,70488,287924,27222,146449,137517,102158,"CHAMARAJANAGARA",381,313,319,325,326,329,394,329,329,1.32326586182465,1.08709242716828,1.10793125963796,1.12877009210764,1.13224323085259,1.14266264708743,1.36841666550895,1.14266264708743,1.14266264708743
"23","CHANNAGIRI",207,2013,79.71428571,NA,57.21428571,46.9,50.52857143,61.61428571,347.0428571,"DAVANAGERE",0.936231884,0,1.11884058,8204.347826,8043.472464,1917.391304,1808.695652,5.463768116,1,0.968115942,0.976811594,0.634782609,2.892753623,1.898550725,0.356521739,4.779710145,0,0,0.860869565,0,61354,281004,29119,179449,131329,111969,"DAVANAGERE",331,334,342,348,348,351,423,343,345,1.17791917552775,1.18859518013978,1.21706452577188,1.23841653499594,1.23841653499594,1.24909253960798,1.50531665029679,1.22062319397589,1.22774053038391
"24","CHANNAPATNA",214,2013,71.66071429,NA,51.07142857,45.69642857,43.51785714,55.89285714,317.9107143,"RAMANAGARA",0.781569966,0,0.372013652,6711.177474,6353.740614,1317.109215,1287.791809,4.866894198,1,1,0.979522184,0.498293515,1.511945392,2.781569966,0.600682594,4.235494881,0.017064846,0.003412969,0.85665529,1,46465,189362,17345,111760,96210,36128,"RAMANAGARA",281,275,277,280,288,298,344,296,293,1.48393024999736,1.45224490658105,1.46280668771982,1.47864935942797,1.52089648398306,1.57370538967692,1.81662635586865,1.56314360853814,1.54730093682999
"25","CHIKMAGALUR",232,2013,79.75,NA,58.95238095,45.97619048,48.44047619,55.67857143,338.1309524,"CHIKKAMANGALORE",0.641723356,0,0.712018141,6523.294785,6269.031746,1472.335601,1512.92517,4.650793651,1,1.01814059,1.022675737,0.702947846,1.623582766,2.868480726,1.498866213,4.47845805,0,0,0.843537415,0,45631,186967,17580,129278,100916,60887,"CHIKKAMANGALORE",422,467,470,440,427,436,502,438,441,2.25708280070815,2.49776698561778,2.51381259794509,2.353356474672,2.28382548792033,2.33196232490226,2.68496579610306,2.34265939978713,2.35870501211444
"26","CHIKNAYAKANHALLI",241,2013,78.46666667,NA,51.33333333,40.095,45.595,56.96666667,313.8666667,"TUMKUR",0.932773109,0,0.941176471,7291.316527,7001.40056,1323.529412,1278.711485,3.801120448,0.994397759,0.977591036,0.991596639,0.476190476,1.591036415,1.574229692,0.294117647,3.089635854,0,0,0.932773109,0,46754,188924,19031,128114,92934,52565,"TUMKUR",360,368,375,360,356,353,411,358,357,1.90552814888527,1.94787321886049,1.98492515508882,1.90552814888527,1.88435561389765,1.86847621265694,2.17547796997735,1.89494188139146,1.88964874764456
"27","CHIKODI",250,2013,83.71717172,NA,60.51515152,53.82828283,56.04040404,65.15151515,376.959596,"BELGAUM CHIKKODI",0.904024768,0,1.325077399,8890.402477,6794.594427,1882.631579,1592.972136,5.736842105,1,0.894736842,0.978328173,0.702786378,3.092879257,2.241486068,0.866873065,5.219814241,0,0,0.857585139,0,105546,503838,60405,328006,261927,85073,"BELGAUM CHIKKODI",288,298,294,299,315,325,369,319,323,0.571612303954843,0.591459953397719,0.583520893620568,0.593444718342007,0.625200957450609,0.645048606893486,0.732378264442142,0.63314001722776,0.64107907700491
"28","CHINCHOLI",259,2013,60.97619048,NA,54.97619048,40.85714286,47.23809524,55.95238095,307.6190476,"GULBARGA",0.925373134,0,0.668656716,9616.107463,8724.928358,1631.134328,1558.597015,5.671641791,1,0.964179104,0.964179104,0.63880597,2.182089552,1.829850746,1.197014925,3.892537313,1.719402985,0.071641791,0.865671642,1,44466,233390,33518,117163,113495,95281,"GULBARGA",256,259,273,298,307,314,359,326,335,1.09687647285659,1.10973049402288,1.16971592613222,1.27683276918463,1.31539483268349,1.34538754873816,1.53819786623249,1.39680363340332,1.43536569690218
"29","CHINTAMANI",268,2013,74.88235294,NA,57.08823529,47.48529412,47,58.86764706,339.2205882,"CHIKKABALLAPURA",0.878318584,1.017699115,0.82300885,6195.730088,5902.068584,1413.269912,1358.272124,4.993362832,0.995575221,0.973451327,1,0.612831858,1.984513274,1.96460177,1.245575221,3.860619469,0,0,0.862831858,1,48838,222002,22139,136593,119129,90454,"CHIKKABALLAPURA",435,410,414,429,439,436,514,454,452,1.95944180683057,1.84683020873686,1.86484806443185,1.93241502328808,1.97745966252556,1.96394627075432,2.3152944568067,2.04502662138179,2.03601769353429
"30","CHITRADURGA",277,2013,70.73269231,NA,53.41346154,48.12692308,48.20865385,59.47884615,328.8365385,"CHITRADURGA",0.748283753,6.85812357,5.565217391,8751.375286,8046.395881,1613.700229,1524.684211,5.18993135,0.99771167,0.993135011,0.986270023,0.622425629,1.947368421,3.28604119,1.199084668,5.205949657,0,0,0.812356979,0,59546,283673,31762,187759,147072,136906,"CHITRADURGA",391,405,411,409,420,425,520,434,437,1.37834760446006,1.42770020410825,1.44885131824319,1.44180094686488,1.48057798944559,1.49820391789137,1.83309655836121,1.52993058909378,1.54050614616125
"31","CHITTAPUR",286,2013,61.15384615,NA,50.93406593,35.95604396,40.79120879,47.71428571,276.7912088,"GULBARGA",0.724310777,0,3.05764411,8058.897243,6717.473684,1965.849624,1841.789474,5.979949875,1,0.92481203,0.934837093,0.5839599,2.047619048,3.37593985,1.095238095,5.413533835,0.09273183,0.022556391,0.781954887,1,49614,282292,43195,128544,126870,91245,"GULBARGA",320,324,325,376,358,368,472,394,399,1.13357799725107,1.14774772221671,1.15129015345812,1.33195414677001,1.26819038442464,1.30361469683873,1.67202754594533,1.39571790911538,1.41343006532243
"32","DEVADURGA",313,2013,73.36170213,NA,62.19148936,47.63829787,49.25531915,67.80851064,352.6382979,"RAICHUR",0.865753425,5.473972603,1.109589041,7649.558904,6300.758904,1898.331507,1864.920548,4.430136986,1,0.98630137,0.961643836,0.528767123,2.106849315,2.21369863,0.383561644,4.317808219,0,0,0.906849315,0,43311,251677,41546,99122,128523,143384,"RAICHUR",245,249,255,331,347,352,389,364,365,0.973469963484943,0.989363350643881,1.01320343138229,1.31517778740211,1.37875133603786,1.39861806998653,1.54563190120671,1.44629823146334,1.45027157825308
"33","DEVANAHALLI",322,2013,81.11111111,NA,59.40740741,45.31481481,46.74074074,54.81481481,346.1666667,"BANGALORE RURAL",0.815884477,0,0.541516245,6899.097473,5668.844765,1559.927798,1307.220217,4.805054152,1,0.989169675,0.985559567,0.57400722,1.945848375,2.729241877,1.855595668,4.433212996,0,0,0.794223827,1,31774,146705,15827,98187,74538,57156,"BANGALORE RURAL",255,251,256,262,269,265,305,274,277,1.73818206605092,1.71091646501483,1.74499846630994,1.78589686786408,1.83361166967724,1.80634606864115,2.07900207900208,1.86769367097236,1.88814287174943
"34","DHARWAD",331,2013,77.69444444,NA,57,47.5,53.27777778,63.30555556,347.9444444,"DHARWAD",0.914572864,0,1.145728643,7852.537688,6415.040201,2713.819095,2161.055276,7.135678392,0.969849246,0.974874372,0.974874372,0.743718593,2.105527638,3.748743719,1.442211055,5.854271357,0.110552764,0.020100503,0.869346734,0,46493,232765,31020,143794,111461,33356,"DHARWAD",299,310,203,205,213,194,228,196,199,1.28455738620497,1.33181535024596,0.872124245483642,0.880716602582003,0.915086030975447,0.833458638541018,0.979528709213155,0.842050995639379,0.85493953128692
"35","DODDABALLAPURA",340,2013,85.69387755,NA,61.55102041,48.97959184,50.73469388,57.95918367,364.9795918,"BANGALORE RURAL",0.856807512,0,1.901408451,6385.373239,5895.924883,1290.422535,1276.338028,4.497652582,1,0.985915493,0.985915493,0.504694836,2.213615023,2.29342723,1.542253521,4.164319249,0.647887324,0.117370892,0.861502347,1,50750,214952,21953,145106,111718,64509,"BANGALORE RURAL",410,400,416,407,408,405,450,429,426,1.90740258290223,1.8608805686851,1.93531579143251,1.89344597863709,1.8980981800588,1.88414157579367,2.09349063977074,1.99579440991477,1.98183780564963
"36","GANGAVATHI",349,2013,73.18072289,NA,56.44578313,47.27710843,43.92771084,54.59036145,325.2168675,"KOPPAL",0.800847458,4.233050847,4.836864407,6024.349576,5814.307203,1398.40678,1347.559322,5.930084746,0.995762712,0.966101695,0.963983051,0.656779661,2.963983051,2.743644068,2.144067797,5.56779661,0,0,0.703389831,0,68480,354376,50729,196902,170400,131233,"KOPPAL",377,398,422,418,418,432,516,467,472,1.06384179515543,1.12310088719326,1.19082556380793,1.17953811770549,1.17953811770549,1.21904417906404,1.45608054721539,1.31780933246044,1.33191864008849
"37","GOKAK",358,2013,82.89380531,NA,69.14159292,61.84955752,60.7699115,73.40707965,416.6814159,"BELGAUM CHIKKODI",0.713656388,0,1.480176211,8198.325991,5864.22467,2164.537445,1782.334802,6.325991189,1,0.814977974,0.955947137,0.766519824,2.625550661,2.991189427,0.374449339,5.572687225,0.026431718,0.008810573,0.748898678,0,88909,476448,75445,258141,224684,99435,"BELGAUM CHIKKODI",423,460,189,199,220,218,260,225,227,0.887819867015918,0.965477869568138,0.396685472496474,0.417674121834912,0.461750285445631,0.457552555577943,0.545704882799382,0.47224461011485,0.476442339982537
"38","GOWRIBIDANUR",367,2013,64.5745098,NA,46.77058824,37.82352941,41.25490196,48.84313725,278.7176471,"CHIKKABALLAPURA",0.887671233,0,0.657534247,7103.876712,7024.424658,1476.663014,1456.279452,4.449315068,1,0.98630137,1,0.550684932,2.290410959,1.753424658,1.063013699,3.967123288,0,0,0.879452055,1,59994,253052,26341,153851,137685,107704,"CHIKKABALLAPURA",363,353,359,356,356,359,415,365,365,1.43448777326399,1.39497020375259,1.41868074545943,1.40682547460601,1.40682547460601,1.41868074545943,1.6399791347233,1.44239128716627,1.44239128716627
