"","Block_Name","Year","Marks1","Marks2","Marks3","Marks4","Marks5","Marks6","Total","Dist_Name","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","Public","Split","Households","TotPop","Pop0.6","Literates","TotWPop","SCST","District","Yr2005","Yr2006","Yr2007","Yr2008","Yr2009","Yr2010","Yr2011","Yr2012","Yr2013","SchoolperPop2005","SchoolperPop2006","SchoolperPop2007","SchoolperPop2008","SchoolperPop2009","SchoolperPop2010","SchoolperPop2011","SchoolperPop2012","SchoolperPop2013","distance","weights"
"57","HOSANAGAR",2005,81.47672813,41.09055835,62.65712582,38.79435194,45.38195322,55.72963914,325.1303566,"SHIMOGA",1,94.3677686,0.400826446,2952.661157,1608.35124,4273.231405,1631.855372,3.384297521,1,0.818181818,0.859504132,0.384297521,1.756198347,1.128099174,54.18181818,2.805785124,0,0,0.962809917,0,23358,115000,14496,73433,49639,12763,"SHIMOGA",242,241,246,245,245,250,279,250,244,2.104347826,2.095652174,2.139130435,2.130434783,2.130434783,2.173913043,2.426086957,2.173913043,2.12173913,0.186495562829382,1
"59","HUBLI",2005,65.52411444,53.61404024,64.30513491,50.01605176,54.1526597,60.43422209,349.6918621,"DHARWAD",0.408408408,83.68168168,0.84984985,2944.387387,2298.717718,2872.543544,2301.705706,7.009009009,1,0.957957958,0.954954955,0.822822823,1.621621622,5.471471471,95.43843844,6.582582583,0,0,0.654654655,0,23249,128380,18442,69364,67050,15281,"DHARWAD",333,355,148,152,156,160,203,165,171,2.593861972,2.765228229,1.152827543,1.183985044,1.215142546,1.246300047,1.581243184,1.285246923,1.331983175,0.330672907270328,1
"64","INDI",2005,70.58739959,46.39336472,69.08572781,50.53647706,50.25166324,60.71702365,347.5716561,"BIJAPUR",0.952830189,107.6533019,0.700471698,3980.681604,1668.691038,4148.186321,2586.261792,3.877358491,1,0.365566038,0.575471698,0.808962264,3.330188679,1.186320755,38.81367925,4.403301887,10.0259434,0.898584906,0.924528302,0,61220,353987,56947,158006,145717,73766,"BIJAPUR",424,435,316,320,331,352,397,359,357,1.197784099,1.228858687,0.89268815,0.903988,0.935062587,0.9943868,1.121510112,1.014161537,1.008511612,0.144448518937726,1
"66","JEWARGI",2005,64.50966611,34.25646441,55.00281377,31.27496604,37.60806234,51.14605574,273.7980284,"GULBARGA",0.923423423,90.13963964,0.216216216,2893.157658,1105.486486,5768.27027,2202.108108,3.540540541,1,0.563063063,0.63963964,0.603603604,3.211711712,1.27027027,41.38738739,4.387387387,0,0,0.932432432,1,39590,235254,42754,84871,108895,58027,"GULBARGA",222,236,247,264,287,294,362,329,328,0.943660894,1.003171041,1.049929013,1.122191334,1.219958003,1.249713076,1.538762359,1.398488442,1.394237718,0.295478941510471,1
"70","KANAKAPURA",2005,72.81343883,56.09735122,57.36285976,44.09500057,52.75920193,59.80730421,342.9351565,"RAMANAGARA",0.931313131,85.54747475,0.191919192,2336.39798,584.7838384,4227.648485,685.8484848,3.02020202,1,0.660606061,0.931313131,0.452525253,1.581818182,1.646464646,42.73535354,2.478787879,0,0,0.929292929,1,72259,337208,37741,167572,165708,69861,"RAMANAGARA",495,497,505,507,505,515,569,506,511,1.467936704,1.473867761,1.497591991,1.503523048,1.497591991,1.527247278,1.687385827,1.500557519,1.515385163,0.0948268388544523,1
"74","KOLAR",2005,70.77685967,42.3171148,53.1444736,38.3162759,45.29228943,53.32560675,303.1726201,"KOLAR",0.851351351,122.8693694,0.463963964,2586.736486,2098.867117,3707.103604,2809.844595,4.355855856,1,0.567567568,0.833333333,0.493243243,1.641891892,2.709459459,5.351351351,3.927927928,4.95045045,0.416666667,0.862612613,1,65097,342593,46557,203801,160213,91405,"KOLAR",444,470,480,481,480,482,533,477,480,1.295998459,1.37189026,1.401079415,1.40399833,1.401079415,1.406917246,1.555781934,1.392322669,1.401079415,0.205836921529616,1
"80","KUDLIGI",2005,70.24028418,39.50717422,53.13245744,42.69630485,46.89751654,54.72255026,307.1962875,"BELLARY",0.839344262,92.67868852,0.485245902,2656.088525,2120.845902,5065.003279,2203.698361,4.498360656,1,0.626229508,0.829508197,0.357377049,3.062295082,1.527868852,4.416393443,4.462295082,0,0,0.908196721,0,47811,272183,44355,135659,132949,125862,"BELLARY",305,315,324,326,330,338,402,344,343,1.120569617,1.157309604,1.190375593,1.19772359,1.212419585,1.241811575,1.476947495,1.263855568,1.260181569,0.310230439625095,1
"83","KUNIGAL",2005,72.79062869,35.90601754,53.20630698,39.89519848,42.45435474,49.50131947,293.7538259,"TUMKUR",0.942675159,105.8046709,0.420382166,2334.849257,1290.505308,558.2059448,208.0721868,3.282377919,1,0.341825902,0.836518047,0.33970276,1.558386412,1.33970276,42.81528662,2.828025478,4.341825902,0.872611465,0.944798301,0,50792,236030,28420,127359,120479,33117,"TUMKUR",471,468,471,465,465,463,521,467,465,1.995509045,1.982798797,1.995509045,1.970088548,1.970088548,1.961615049,2.207346524,1.978562047,1.970088548,0.64313136147144,1
"89","MAGADI",2005,71.53015051,53.18845514,60.59447573,41.93683711,47.3032187,55.80650804,330.3596452,"RAMANAGARA",0.990719258,89.14153132,0.171693735,2351.160093,686.187935,4147.770302,814.1554524,2.619489559,1,0.489559165,0.883990719,0.276102088,1.663573086,1.250580046,18.87238979,2.682134571,0,0,0.972157773,1,43534,202417,23059,112412,105259,43983,"RAMANAGARA",431,432,436,440,444,447,482,408,410,2.129267799,2.134208095,2.153969281,2.173730467,2.193491653,2.208312543,2.381222921,2.015640979,2.025521572,0.467630405643333,1
"91","MALUR",2005,71.96968845,42.89425052,54.25797775,38.57538545,46.20811579,54.1120612,308.0174792,"KOLAR",0.982905983,121.991453,0.435897436,2476.780627,1546.504274,3423.589744,1682.076923,3.150997151,1,0.566951567,0.715099715,0.367521368,1.715099715,1.760683761,12.01139601,3.321937322,6.621082621,1.746438746,0.911680912,1,40047,207009,28365,109203,99365,69785,"KOLAR",351,364,365,354,354,358,396,359,359,1.695578453,1.758377655,1.763208363,1.710070577,1.710070577,1.729393408,1.912960306,1.734224116,1.734224116,0.426248176167754,1
