"","Block_Name","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","acyear","Public","Split"
"238165","HDMC",0,210,0,0,0,0,0,6,1,1,1,0,2,6,0,8,0,0,5,0,0
"238355","ANKOLA",0,227,1,5000,5000,2000,2000,12,1,1,1,1,10,3,11,13,0,0,5,1,0
"238364","ANKOLA",1,232,1,0,0,0,0,3,1,1,1,1,0,2,0,2,0,0,5,0,0
"238380","KARWAR",1,227,5,0,0,0,0,9,1,1,1,1,8,3,9,11,0,0,5,1,0
"238395","KARWAR",1,238,0,0,0,0,0,10,1,1,1,1,1,12,1,13,0,0,5,0,0
"238396","KARWAR",1,225,0,0,0,1490,1490,8,1,1,1,1,6,3,6,9,0,0,5,1,0
"238405","KARWAR",1,236,1,0,0,0,0,14,1,1,0,1,4,2,3,6,0,0,5,1,0
"238477","KARWAR",1,235,3,0,0,0,0,16,0,1,1,1,3,3,4,0,0,0,5,0,0
"238511","KARWAR",0,226,0,0,0,0,0,16,1,1,1,1,8,5,8,13,0,0,5,1,0
"238519","KARWAR",0,230,1,0,0,0,0,9,1,1,1,1,2,9,9,11,0,0,5,0,0
"238528","KARWAR",0,229,0,0,0,0,0,5,1,1,1,1,7,3,7,10,0,0,5,1,0
"238531","KARWAR",0,229,0,0,0,0,0,6,0,1,1,1,4,5,9,9,0,0,5,1,0
"238558","KARWAR",0,230,0,0,0,0,0,12,1,1,1,1,0,9,5,9,0,0,5,1,0
"238560","KARWAR",0,255,0,1500,1500,0,0,10,1,1,1,1,5,5,10,10,0,0,5,1,0
"238703","SIRSI",1,222,0,0,0,0,0,4,1,1,1,1,1,5,6,6,0,0,5,0,0
"238839","SIRSI",1,230,0,0,0,0,0,5,1,1,1,1,5,3,8,8,0,0,5,1,0
"238849","SIRSI",0,233,0,0,0,0,0,7,1,1,1,0,4,6,8,10,0,0,5,0,0
"238901","HALIYAL",1,233,0,0,0,1000,1000,3,1,1,1,0,1,6,7,7,0,0,5,1,0
"238941","HALIYAL",1,215,8,0,0,0,0,5,1,1,1,1,3,5,8,8,0,0,5,1,0
"239270","KUMTA",0,237,0,7000,0,0,0,3,1,1,1,1,2,5,7,7,0,0,5,1,0
"239490","SIDDAPUR",0,232,0,0,0,0,0,4,1,1,0,1,2,4,1,4,0,0,5,0,0
"239699","YELLAPUR",0,217,0,0,0,0,0,12,1,1,1,1,6,8,7,14,0,0,5,0,0
"239726","YELLAPUR",0,233,0,0,0,0,0,6,1,1,1,1,6,2,8,8,0,0,5,1,0
"239745","HONNAVAR",1,232,0,0,0,0,0,3,0,1,1,0,2,0,0,2,0,0,5,0,0
"239834","HONNAVAR",1,220,3,0,0,0,0,4,1,1,1,1,2,0,2,1,0,0,5,1,0
"239860","HONNAVAR",1,235,0,0,0,0,0,12,1,1,1,1,6,4,6,10,0,0,5,0,0
"239877","HONNAVAR",1,233,8,0,0,0,0,12,1,1,0,1,7,5,10,12,0,0,5,0,0
"239968","HONNAVAR",1,240,1,4000,0,1500,0,7,1,1,1,1,5,8,11,13,0,0,5,1,0
"240004","HONNAVAR",0,210,0,0,0,0,0,5,0,1,0,0,1,3,4,3,0,0,5,0,0
"240006","HONNAVAR",0,235,0,0,0,0,0,24,1,1,1,1,5,26,31,30,0,0,5,0,0
"240012","HONNAVAR",0,219,1,0,0,0,0,5,1,1,1,1,2,7,9,9,0,0,5,0,0
"240013","HONNAVAR",0,238,6,25000,20000,0,0,15,1,1,1,1,11,6,17,17,0,0,5,1,0
"240017","HONNAVAR",0,232,0,10000,10000,0,0,15,1,1,0,1,11,4,14,15,0,0,5,1,0
"240206","BHATKAL",0,218,0,0,0,10000,10000,25,0,1,1,1,18,0,11,18,0,0,5,1,0
"240222","BHATKAL",0,218,0,0,0,0,0,6,1,1,1,1,1,8,8,9,0,0,5,0,0
"240325","MUNDAGOD",1,231,3,0,0,0,0,5,1,1,1,1,4,4,8,8,0,0,5,1,0
"240328","MUNDAGOD",0,228,0,0,0,0,0,7,1,1,1,1,1,7,5,8,0,0,5,0,0
"240587","BYADAGI",1,228,2,0,0,0,0,4,1,1,1,1,9,2,4,11,0,0,5,1,0
"240659","BYADAGI",0,229,3,0,0,0,0,10,1,1,1,1,16,6,5,18,0,0,5,0,0
"240668","BYADAGI",0,210,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,5,1,0
"240719","HANAGAL",1,219,2,0,0,0,0,9,1,1,0,1,6,2,8,0,0,0,5,0,0
"240747","HANAGAL",1,225,0,0,0,0,0,5,0,1,1,1,5,5,6,10,0,0,5,1,0
"240820","HANAGAL",1,232,0,0,0,0,0,12,1,1,1,1,6,12,1,0,0,0,5,0,0
"240966","HAVERI",1,232,0,0,0,0,0,1,0,1,1,1,0,999,999,999,0,0,5,1,0
"240977","HAVERI",1,224,2,0,0,0,0,9,0,1,1,1,9,0,8,9,0,0,5,1,0
"241019","HAVERI",1,236,0,12000,12000,5000,5000,5,1,1,1,1,3,0,3,3,0,0,5,1,0
"241103","HAVERI",0,250,0,0,0,0,0,4,1,1,0,0,7,2,7,9,0,0,5,1,0
"241107","HAVERI",0,235,2,0,0,0,0,30,1,1,1,1,5,10,13,15,0,0,5,0,0
"241117","HAVERI",0,226,0,0,0,0,0,6,1,1,1,1,6,3,9,9,0,0,5,0,0
"241122","HAVERI",0,228,0,0,0,0,0,8,1,1,1,1,5,4,8,9,0,0,5,1,0
"241142","HAVERI",0,224,3,0,0,0,0,25,1,1,1,1,0,15,7,14,0,0,5,0,0
"241188","HIREKERUR",1,230,10,0,0,0,0,4,1,1,0,1,5,2,7,7,0,0,5,1,0
"241362","HIREKERUR",1,210,0,0,0,0,0,10,1,1,1,1,2,7,9,9,0,0,5,0,0
"241375","HIREKERUR",0,234,0,0,0,0,0,2,1,1,0,0,1,0,1,1,0,0,5,1,0
"241434","RANNEBENNUR",1,241,0,0,0,0,0,5,1,1,1,0,5,2,7,0,0,0,5,1,0
"241464","RANNEBENNUR",1,210,0,0,0,0,0,8,1,1,1,1,9,2,10,11,0,0,5,0,0
"241557","RANNEBENNUR",0,234,1,0,0,0,0,17,1,1,1,1,6,13,16,11,0,0,5,0,0
"241590","RANNEBENNUR",0,212,1,0,0,0,0,20,1,1,1,1,9,17,24,21,0,0,5,0,0
"241626","RANNEBENNUR",0,234,0,0,0,0,0,10,1,1,1,1,8,7,11,15,0,0,5,0,0
"241627","RANNEBENNUR",0,235,0,0,0,0,0,10,1,1,1,1,9,6,12,15,0,0,5,0,0
"241685","SAVANUR",1,237,0,0,0,0,0,7,1,1,1,1,7,2,8,9,0,0,5,0,0
"241763","SAVANUR",0,233,3,0,0,0,0,5,1,1,1,1,6,0,6,6,0,0,5,1,0
"241913","SHIGGOAN",0,219,1,0,0,0,0,5,1,1,1,0,5,0,5,3,0,0,5,1,0
"241916","SHIGGOAN",0,236,5,0,0,0,0,10,1,1,1,1,7,5,0,8,0,0,5,0,0
"241923","SHIGGOAN",0,236,3,0,0,0,0,10,1,1,1,1,5,0,4,5,0,0,5,0,0
"241945","SHIGGOAN",0,220,5,0,0,0,0,6,1,1,1,1,2,5,6,7,0,0,5,0,0
"241946","SHIGGOAN",0,220,2,0,0,0,0,10,1,1,1,1,11,4,15,15,0,0,5,0,0
"241948","SHIGGOAN",0,229,0,0,0,0,0,3,1,1,1,1,6,3,9,7,0,0,5,0,0
"241996","BELLARY WEST",1,232,3,0,0,0,0,15,1,1,1,1,2,13,12,14,0,0,5,0,0
"242000","BELLARY WEST",1,245,1,0,0,0,0,10,1,1,1,1,12,4,15,4,0,0,5,0,0
"242017","BELLARY WEST",1,231,5,0,0,0,0,15,1,1,1,1,3,5,6,0,0,0,5,0,0
"242092","BELLARY WEST",0,230,0,0,0,0,0,3,1,1,1,1,1,13,14,14,0,0,5,0,0
"242097","BELLARY WEST",1,237,2,0,0,0,0,11,1,1,1,1,5,10,14,15,0,0,5,0,0
"242109","BELLARY WEST",0,231,0,0,0,0,0,9,0,1,1,1,5,3,8,8,0,0,5,0,0
"242161","BELLARY WEST",0,220,0,0,0,0,0,44,1,1,1,1,42,14,31,56,0,0,5,0,0
"242163","BELLARY WEST",0,217,1,0,0,0,0,25,1,1,1,1,8,13,20,20,0,0,5,0,0
"242169","BELLARY WEST",0,228,3,0,0,0,0,22,1,1,1,1,1,16,15,14,0,0,5,0,0
"242171","BELLARY WEST",0,235,1,0,0,0,0,10,1,1,1,1,1,0,1,1,0,0,5,0,0
"242174","BELLARY WEST",0,221,2,3000,2000,0,0,15,1,1,0,0,4,7,11,11,0,0,5,0,0
"242217","HADAGALI",1,222,2,0,0,0,0,5,0,1,1,1,7,1,8,8,0,0,5,1,0
"242253","HADAGALI",1,225,0,0,0,0,0,8,1,1,1,0,3,4,7,7,0,0,5,1,0
"242259","HADAGALI",1,222,2,0,0,0,0,3,0,1,0,0,4,1,0,5,0,0,5,1,0
"242403","HAGARIBOMMANAHALLI",1,240,0,0,0,0,0,5,1,1,1,1,5,3,8,8,0,0,5,1,0
"242408","HAGARIBOMMANAHALLI",1,240,0,0,0,0,0,5,1,1,0,1,4,4,8,4,0,0,5,1,0
"242435","HAGARIBOMMANAHALLI",1,238,4,0,0,0,0,6,1,1,1,1,8,3,4,11,0,0,5,0,0
"242438","HAGARIBOMMANAHALLI",1,239,2,0,0,0,0,6,1,1,1,1,3,4,7,7,0,0,5,0,0
"242439","HAGARIBOMMANAHALLI",1,229,0,0,0,0,0,16,1,1,1,1,16,6,18,22,0,0,5,0,0
"242594","HOSPET",1,224,0,0,0,0,0,8,1,1,0,1,9,0,6,9,0,0,5,0,0
"242627","HOSPET",1,224,0,0,0,0,0,5,1,1,1,1,7,2,9,9,0,0,5,1,0
"242643","HOSPET",1,229,4,0,0,0,0,5,1,1,1,1,5,2,7,7,0,0,5,1,0
"242647","HOSPET",1,228,1,0,0,0,0,8,1,1,1,1,3,3,6,6,0,0,5,0,0
"242822","KUDLIGI",1,230,3,0,0,0,0,10,1,1,1,1,12,4,10,16,0,0,5,0,0
"242979","KUDLIGI",1,230,0,0,0,0,0,5,1,1,1,1,11,0,11,10,0,0,5,1,0
"243065","KUDLIGI",1,230,0,0,0,0,0,12,1,1,1,0,16,8,23,24,0,0,5,0,0
"243170","SANDUR",1,227,0,0,0,0,0,32,1,1,1,1,1,12,10,13,0,0,5,0,0
"243227","SANDUR",1,210,0,0,0,0,0,33,1,1,1,1,8,3,11,11,0,0,5,0,0
"243280","SANDUR",1,212,0,0,0,0,0,43,1,1,1,1,14,49,62,60,0,0,5,0,0
"243308","SANDUR",1,210,0,0,0,0,0,20,1,1,1,1,10,16,23,26,0,0,5,0,0
"243528","SIRUGUPPA",0,225,1,0,0,0,0,13,1,1,1,1,1,9,6,5,0,0,5,0,0
"243529","SIRUGUPPA",1,238,1,0,0,0,0,12,1,1,1,1,9,6,8,15,0,0,5,0,0
"243548","SIRUGUPPA",0,233,0,0,0,0,0,3,1,1,1,0,7,0,7,7,0,0,5,1,0
"243588","BELLARY EAST",0,237,0,0,0,0,0,22,1,1,1,0,6,3,8,0,0,0,5,0,0
"243606","BELLARY EAST",0,230,0,0,0,0,0,14,1,1,1,0,1,7,2,8,0,0,5,0,0
"243631","BELLARY EAST",0,234,3,0,0,0,0,10,1,1,0,1,1,9,6,10,0,0,5,0,0
"243651","BELLARY EAST",0,235,5,0,0,0,0,20,1,1,1,1,4,8,7,11,0,0,5,0,0
"243659","BELLARY EAST",0,229,2,0,0,0,0,14,1,1,1,1,1,12,12,13,0,0,5,0,0
"243665","BELLARY EAST",0,230,0,0,0,0,0,25,1,1,1,1,6,10,12,16,0,0,5,0,0
"243987","CHITRADURGA",1,223,0,12000,12000,2500,2500,5,1,1,1,1,8,1,8,9,0,0,5,1,0
"244017","CHITRADURGA",1,218,3,0,0,0,0,7,1,1,1,1,3,1,0,4,0,0,5,1,0
"244018","CHITRADURGA",1,218,1,0,0,0,0,3,1,1,1,1,5,1,6,6,0,0,5,1,0
"244095","CHITRADURGA",1,228,0,5000,5000,1127,1127,9,1,1,1,1,9,0,5,9,0,0,5,1,0
"244115","CHITRADURGA",0,221,3,0,0,0,0,25,1,1,1,1,1,14,11,15,0,0,5,0,0
"244155","CHITRADURGA",0,220,4,0,0,0,0,12,1,1,1,1,2,8,1,10,0,0,5,0,0
"244157","CHITRADURGA",0,231,5,0,0,0,0,5,1,1,1,1,1,5,4,6,0,0,5,0,0
"244158","CHITRADURGA",0,220,0,0,0,0,0,12,1,1,1,1,1,7,2,8,0,0,5,0,0
"244172","CHITRADURGA",0,228,4,0,0,0,0,10,1,1,1,1,8,7,11,15,0,0,5,0,0
"244199","CHITRADURGA",0,230,2,0,0,0,0,6,1,1,1,1,2,5,7,6,0,0,5,0,0
"244200","CHITRADURGA",0,221,0,0,0,0,0,3,1,1,0,0,5,2,4,7,0,0,5,1,0
"244208","CHITRADURGA",0,221,0,0,0,0,0,5,1,1,0,0,5,5,10,10,0,0,5,1,0
"244453","CHALLAKERE",0,223,1,0,0,0,0,10,1,1,1,1,3,7,9,10,0,0,5,1,0
"244593","CHALLAKERE",0,222,1,0,0,0,0,3,1,1,1,1,8,6,13,13,0,0,5,0,0
"244602","CHALLAKERE",1,235,1,0,0,0,0,5,1,1,0,1,6,0,2,5,0,0,5,1,0
"244845","HIRIYUR",1,229,0,0,0,0,0,5,1,1,1,1,6,4,9,10,0,0,5,1,0
"244854","HIRIYUR",1,999,999,999,999,999,999,10,1,1,1,1,14,5,19,19,0,0,5,0,0
"244897","HIRIYUR",1,228,2,0,0,0,0,6,1,0,1,1,3,1,3,4,0,0,5,0,0
"244967","HIRIYUR",0,220,0,0,0,0,0,13,1,1,1,1,0,10,10,10,0,0,5,0,0
"244968","HIRIYUR",0,210,0,0,0,0,0,3,1,0,1,1,7,0,7,0,0,0,5,0,0
"244990","HIRIYUR",0,225,0,0,0,0,0,10,1,1,1,1,3,8,10,11,0,0,5,0,0
"245048","HOLALKERE",0,226,0,0,0,0,0,4,1,1,0,0,6,4,9,10,0,0,5,1,0
"245600","HOSADURGA",0,228,5,0,0,0,0,3,1,1,1,1,0,4,3,4,0,0,5,1,0
"245620","MOLAKALMUR",0,220,4,0,0,0,0,4,1,1,0,1,6,5,5,11,0,0,5,1,0
"245652","MOLAKALMUR",1,225,0,12000,12000,4000,3500,8,1,1,1,0,6,1,3,7,0,0,5,1,0
"245757","MOLAKALMUR",1,225,0,8000,8000,2500,2500,7,1,1,1,0,2,1,0,3,0,0,5,1,0
"245784","MOLAKALMUR",0,999,999,999,999,999,999,2,1,1,1,1,0,999,999,999,0,0,5,1,0
"245852","CHANNAGIRI",1,222,0,0,0,0,0,10,1,1,1,1,13,3,16,16,0,0,5,0,0
"245955","CHANNAGIRI",1,222,0,10000,10000,0,0,3,1,1,1,1,8,0,8,8,0,0,5,1,0
"246113","CHANNAGIRI",1,222,0,0,0,0,0,20,1,1,1,1,9,6,15,12,0,0,5,0,0
"246339","DAVANAGERE(N)",0,223,0,19000,0,4000,4000,5,1,1,1,0,5,5,9,10,0,0,5,1,0
"246347","DAVANAGERE(N)",0,224,5,0,0,0,0,10,1,1,1,1,2,1,3,2,0,0,5,1,0
"246533","DAVANAGERE(S)",0,230,2,0,0,0,0,31,1,1,1,1,1,28,28,29,0,0,5,0,0
"246536","DAVANAGERE(S)",0,220,0,0,0,0,0,10,1,1,1,1,1,10,8,5,0,0,5,0,0
"246553","DAVANAGERE(S)",0,230,1,0,0,0,0,3,1,1,1,1,5,2,3,7,0,0,5,0,0
"246564","DAVANAGERE(S)",0,224,3,0,0,0,0,3,0,1,1,1,7,18,25,25,0,0,5,0,0
"246585","DAVANAGERE(S)",1,230,5,0,0,0,0,9,1,1,1,1,6,3,8,9,0,0,5,0,0
"246591","DAVANAGERE(S)",0,226,0,0,0,0,0,42,1,1,1,1,17,20,37,2,0,0,5,0,0
"246599","DAVANAGERE(S)",0,229,0,0,0,0,0,20,1,1,1,1,0,15,14,15,0,0,5,0,0
"246607","DAVANAGERE(S)",0,221,1,0,0,0,0,29,1,1,1,1,3,38,32,41,0,0,5,0,0
"246625","DAVANAGERE(S)",0,225,0,0,0,0,0,23,1,1,1,1,4,9,13,13,0,0,5,0,0
"246633","DAVANAGERE(S)",0,240,3,0,0,0,0,9,1,1,1,1,2,7,0,9,0,0,5,0,0
"246635","DAVANAGERE(S)",0,239,3,0,0,0,0,22,1,1,1,1,4,5,4,9,0,0,5,0,0
"246671","HARIHARA",1,235,0,0,0,0,0,10,1,1,1,1,9,1,0,10,0,0,5,0,0
"246695","HARIHARA",1,232,0,0,0,4000,4000,5,1,1,1,1,3,2,5,5,0,0,5,1,0
"246794","HARIHARA",1,223,0,15000,15000,3000,3000,6,1,1,1,1,2,4,6,6,0,0,5,1,0
"246828","HARIHARA",1,230,2,7000,7000,4000,4000,3,0,0,1,1,6,2,5,8,0,0,5,1,0
"246834","HARIHARA",0,231,1,0,0,0,0,24,1,1,1,1,11,16,22,27,0,0,5,0,0
"246853","HARIHARA",1,211,0,0,0,0,0,32,1,1,1,1,6,17,22,23,0,0,5,0,0
"246874","HARIHARA",1,225,2,0,0,0,0,12,1,1,1,1,4,13,14,16,0,0,5,0,0
"247114","HONNALI",0,240,1,7000,7000,2726,2726,3,1,1,1,0,5,3,8,8,0,0,5,1,0
"247158","JAGALUR",1,230,0,0,0,0,0,4,1,1,1,1,5,2,7,7,0,0,5,1,0
"247331","JAGALUR",0,230,0,0,0,0,0,7,1,1,1,1,6,3,1,9,0,0,5,0,0
"247332","JAGALUR",0,230,4,0,0,0,0,10,1,1,1,1,4,7,1,11,0,0,5,0,0
"247391","HARAPANAHALLI",1,213,0,0,0,0,0,2,0,0,0,0,5,3,8,8,0,0,5,1,0
"247430","HARAPANAHALLI",1,210,4,0,0,0,0,6,1,1,1,1,6,1,7,7,0,0,5,1,0
"247667","BHADRAVATI",1,234,2,39591,23000,2500,2500,8,1,1,1,1,4,3,7,6,0,0,5,1,0
"247716","BHADRAVATI",1,222,6,29000,29000,0,0,3,0,1,1,0,5,6,10,4,0,0,5,1,0
"247776","BHADRAVATI",1,219,3,0,0,0,0,10,1,1,1,1,2,6,8,2,0,0,5,0,0
"247868","BHADRAVATI",0,224,1,0,0,0,0,7,1,1,1,1,2,0,2,2,0,0,5,0,0
"247894","BHADRAVATI",0,226,2,0,0,0,0,3,0,1,1,1,1,2,3,3,0,0,5,0,0
"247904","BHADRAVATI",1,227,3,0,0,0,0,14,1,1,1,1,4,11,15,4,0,0,5,0,0
"247921","BHADRAVATI",0,226,2,0,0,0,0,8,0,1,1,0,2,4,5,6,0,0,5,0,0
"247923","BHADRAVATI",1,223,6,0,0,0,0,14,1,1,1,1,0,16,16,4,0,0,5,0,0
"247936","BHADRAVATI",0,230,3,0,0,0,0,2,1,0,1,1,0,999,999,999,0,0,5,0,0
"248619","SAGAR",1,212,0,0,0,0,0,24,1,1,1,1,5,7,11,12,0,0,5,0,0
"248662","SHIKARIPUR",1,223,2,0,0,5500,5500,6,1,1,1,1,12,0,12,3,0,0,5,1,0
"248708","SHIKARIPUR",0,218,5,0,0,0,0,15,1,1,1,1,4,11,14,15,0,0,5,0,0
"248763","SHIKARIPUR",1,222,0,0,0,4500,4500,4,1,1,0,1,7,1,8,8,0,0,5,1,0
"248875","SHIKARIPUR",0,226,6,5000,5000,3000,3000,2,1,1,1,0,8,3,11,11,28,8,5,1,0
"248877","SHIKARIPUR",0,225,0,0,0,5000,1000,3,1,1,0,1,7,2,8,9,0,0,5,1,0
"248884","SHIKARIPUR",0,224,2,10000,10000,0,0,3,1,1,1,0,9,2,11,11,0,0,5,1,0
"248983","SHIMOGA",1,221,0,0,0,0,0,5,1,1,0,1,5,5,0,10,0,0,5,0,0
"249024","SHIMOGA",1,231,0,0,0,1000,1000,9,1,1,1,1,0,2,1,2,0,0,5,1,0
"249048","SHIMOGA",1,231,0,0,0,0,0,16,1,1,1,1,1,0,0,1,0,0,5,0,0
"249049","SHIMOGA",1,229,0,0,0,0,0,6,1,1,1,1,7,4,4,11,0,0,5,1,0
"249072","SHIMOGA",1,229,0,0,0,0,0,8,1,0,1,1,1,2,0,3,0,0,5,0,0
"249073","SHIMOGA",1,221,0,0,0,0,0,1,1,1,1,1,0,3,0,3,0,0,5,0,0
"249098","SHIMOGA",0,229,0,0,0,0,0,11,1,1,1,1,5,1,0,6,0,0,5,0,0
"249116","SHIMOGA",0,221,0,0,0,0,0,25,1,1,1,1,4,1,0,5,0,0,5,0,0
"249262","SHIMOGA",0,229,0,0,0,0,0,10,1,1,1,1,0,8,0,8,0,0,5,0,0
"249280","SHIMOGA",1,221,0,0,0,0,0,2,1,1,1,1,1,3,3,4,0,0,5,0,0
"249303","SHIMOGA",0,221,0,0,0,0,0,20,1,1,1,1,0,4,0,4,0,0,5,0,0
"249305","SHIMOGA",0,221,0,0,0,3000,3000,10,1,1,1,1,0,9,9,9,0,0,5,1,0
"249316","SHIMOGA",0,221,0,0,0,0,0,6,1,1,1,1,4,2,0,6,0,0,5,0,0
"249321","SHIMOGA",0,221,0,0,0,0,0,10,1,1,1,1,0,4,0,4,0,0,5,0,0
"249336","SHIMOGA",0,221,0,0,0,0,0,1,1,1,1,1,0,4,0,4,0,0,5,1,0
"249372","SHIMOGA",0,221,0,0,0,0,0,2,1,1,1,1,0,4,0,4,0,0,5,0,0
"249373","SHIMOGA",0,221,0,0,0,0,0,10,1,1,0,1,1,2,3,3,0,0,5,0,0
"249554","SORAB",1,230,0,0,0,0,0,9,1,1,1,1,3,8,8,10,0,0,5,0,0
"249728","THIRTHAHALLI",1,219,0,0,0,0,0,13,1,1,1,1,7,8,12,15,0,0,5,0,0
"249729","THIRTHAHALLI",1,233,1,0,0,0,0,11,1,1,1,1,3,11,9,14,0,0,5,0,0
"249927","THIRTHAHALLI",0,234,3,0,0,0,0,2,1,1,0,0,4,4,8,8,0,0,5,0,0
"249952","THIRTHAHALLI",0,218,0,0,0,0,0,12,1,1,1,1,7,13,14,20,0,0,5,0,0
"249996","KARKALA",1,227,2,0,0,0,0,14,1,1,1,1,12,9,20,21,0,0,5,0,0
"250069","KARKALA",1,226,0,0,0,0,0,11,1,1,1,1,1,6,7,7,0,0,5,0,0
"250094","KARKALA",1,221,1,0,0,0,0,12,1,1,1,1,0,999,999,999,0,0,5,0,0
"250105","KARKALA",1,226,0,0,0,0,0,13,1,1,1,1,5,17,16,20,0,0,5,0,0
"250179","KARKALA",0,221,2,0,0,0,0,5,1,1,0,0,0,6,2,6,0,0,5,0,0
"250187","KARKALA",0,238,0,0,0,0,0,5,0,1,0,1,1,4,5,5,13,3,5,0,0
"250190","KARKALA",1,232,0,0,0,0,0,4,1,1,0,1,3,0,3,3,0,0,5,1,0
"250192","KARKALA",0,226,2,0,0,0,0,5,1,1,1,1,4,6,10,10,8,5,5,0,0
"250222","UDUPI",1,230,0,0,0,0,0,16,1,1,1,1,1,15,8,16,0,0,5,0,0
"250243","UDUPI",1,227,4,0,0,0,0,11,1,1,1,1,1,2,3,3,0,0,5,0,0
"250244","UDUPI",1,230,0,0,0,0,0,13,1,1,1,1,0,2,0,2,0,0,5,0,0
"250251","UDUPI",1,230,0,11000,1568,1000,0,7,1,1,1,1,6,1,6,7,0,0,5,1,0
"250263","UDUPI",1,231,1,0,0,0,0,5,1,1,1,1,6,3,5,9,0,0,5,1,0
"250336","UDUPI",0,219,0,0,0,0,0,17,1,1,1,1,3,7,10,10,0,0,5,0,0
"250338","UDUPI",0,220,0,0,0,0,0,16,1,1,1,1,4,6,10,10,0,0,5,0,0
"250347","UDUPI",0,237,0,0,0,2000,2000,7,1,1,1,1,5,2,5,7,9,6,5,1,0
"250350","UDUPI",0,230,0,0,0,0,0,12,1,1,0,1,1,6,7,7,0,0,5,0,0
"250449","KUNDAPURA",1,229,0,0,0,0,0,2,1,1,0,0,0,999,999,999,0,0,5,0,0
"250524","KUNDAPURA",0,210,1,0,0,0,0,3,1,1,0,1,0,3,1,3,0,0,5,0,0
"250541","KUNDAPURA",1,226,1,0,0,0,0,6,1,1,1,1,1,7,3,8,46,3,5,0,0
"250780","BRAHAMAVARA",1,230,0,0,0,4000,4000,6,1,1,1,1,3,5,6,8,0,0,5,1,0
"250933","BRAHAMAVARA",0,231,0,2000,2000,0,0,19,1,1,1,1,7,9,9,16,0,0,5,1,0
"250951","SRINGERI",1,225,1,0,0,0,0,3,1,1,0,0,6,3,9,9,0,0,5,1,0
"251080","KOPPA",1,231,0,0,0,0,0,8,1,1,1,0,8,3,0,11,0,0,5,1,0
"251155","KOPPA",1,226,2,0,0,0,0,13,1,1,1,1,16,2,18,18,0,0,5,0,0
"251278","NARASIMHARAJAPURA",0,239,3,0,0,0,0,16,1,1,1,1,11,16,19,26,0,0,5,0,0
"251281","NARASIMHARAJAPURA",0,232,0,0,0,0,0,3,0,0,1,1,1,6,7,7,0,0,5,1,0
"251301","TARIKERE",1,220,0,0,0,0,0,3,1,1,1,1,4,5,0,9,0,0,5,1,0
"251319","TARIKERE",1,225,4,0,0,0,0,11,1,1,0,1,2,3,3,5,0,0,5,0,0
"251486","TARIKERE",1,228,0,0,0,0,0,15,1,1,1,1,4,8,5,12,0,0,5,0,0
"251487","TARIKERE",1,230,4,0,0,0,0,12,1,1,1,1,2,0,0,2,0,0,5,1,0
"251525","TARIKERE",0,234,1,0,0,0,0,12,1,1,1,1,4,10,8,14,0,0,5,0,0
"251529","TARIKERE",0,230,2,0,0,0,0,13,1,1,1,0,5,5,10,10,0,0,5,0,0
"251606","KADUR",1,234,0,0,0,0,0,9,1,1,1,0,7,4,9,11,0,0,5,1,0
"251721","KADUR",1,230,0,0,0,0,0,6,1,1,1,1,6,2,8,8,0,0,5,1,0
"251810","KADUR",0,231,2,0,0,0,0,5,1,0,1,1,1,6,7,7,0,0,5,0,0
"251849","CHIKMAGALUR",1,226,1,0,0,0,0,12,1,1,1,1,3,12,10,14,0,0,5,0,0
"251850","CHIKMAGALUR",1,227,0,0,0,0,0,12,1,1,1,1,3,7,8,7,0,0,5,0,0
"251880","CHIKMAGALUR",1,214,0,13000,13000,6000,6000,11,1,1,1,1,7,4,10,10,2,1,5,1,0
"251942","CHIKMAGALUR",1,225,1,0,0,0,0,5,1,1,1,1,3,4,6,7,0,0,5,1,0
"251956","CHIKMAGALUR",0,220,0,0,0,0,0,8,1,1,1,1,0,14,14,14,0,0,5,0,0
"251974","CHIKMAGALUR",1,230,2,0,0,0,0,1,1,1,1,1,3,4,7,7,0,0,5,1,0
"251976","CHIKMAGALUR",1,238,0,0,0,0,0,1,1,1,0,0,3,5,8,8,0,0,5,1,0
"252005","CHIKMAGALUR",1,237,0,0,0,0,0,6,1,1,0,0,7,1,8,8,0,0,5,1,0
"252082","CHIKMAGALUR",1,229,1,0,0,0,0,26,1,1,1,1,7,8,15,15,0,0,5,1,0
"252083","CHIKMAGALUR",1,226,0,0,0,0,0,15,1,1,1,1,4,11,14,5,0,0,5,0,0
"252164","CHIKMAGALUR",0,224,1,0,0,0,0,4,1,1,1,1,7,4,9,10,0,0,5,1,0
"252203","CHIKMAGALUR",0,225,1,0,0,0,0,5,1,1,1,1,0,11,9,9,0,0,5,0,0
"252243","CHIKMAGALUR",0,237,0,0,0,0,0,7,1,1,1,1,9,1,1,10,0,0,5,1,0
"252245","CHIKMAGALUR",0,220,1,5000,5000,10000,10000,3,1,1,1,1,4,1,5,5,0,0,5,1,0
