,Block_Name,Year,Marks1,Marks2,Marks3,Marks4,Marks5,Marks6,Total,Dist_Name,Rural_Urban,No_of_Working_Days,No_of_Acad_Inspection,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Tot_Clrooms,Toilet_Girls,Electricity,Library,PlayGround,Male_Tch,Female_Tch,Graduate_Teachers,Tch_with_Prof_Qual,Days_involved_in_non_tch_assgn,Teachers_involved_in_non_tch_assgn,Public,Split
1027,RAICHUR,2013,62.04081633,NA,57.93877551,42.81632653,46.1122449,52.66326531,310.622449,RAICHUR,0.615384615,0,1.730769231,10708.30048,7957.204327,2015.96875,1376.322115,7.0625,1,0.966346154,0.882211538,0.634615385,2.447115385,4.40625,0.764423077,6.826923077,0.007211538,0.004807692,0.697115385,0
1028,RAMANAGARA,2006,73,45,30,35,45,48,276,RAMANAGARA,0.81871345,231.1315789,0.371345029,3431.833333,1169.748538,1368.619883,1167.561404,3.830409357,1,0.921052632,0.947368421,0.394736842,1.397660819,2.187134503,1.035087719,3.584795322,0.730994152,0.064327485,0.865497076,1
1029,RAMANAGARA,2007,77.58459666,45.19090388,53.60911188,38.23140124,53.35322978,53.69855225,321.6677957,RAMANAGARA,0.850415512,210.2465374,0.498614958,2372.759003,906.0221607,1367.977839,1126.063712,3.817174515,1,0.903047091,0.916897507,0.390581717,1.35734072,2.1966759,0.975069252,3.55401662,0,0,0.858725762,1
1030,RAMANAGARA,2008,78.43005175,43.9742866,51.91930698,47.39227599,53.97166313,57.58745901,333.2750435,RAMANAGARA,0.826815642,226.5223464,0.357541899,2584.22067,2006.092179,1354.536313,1317.371508,3.983240223,1,0.941340782,0.399441341,0.393854749,1.360335196,2.24301676,0.98603352,3.474860335,12.01117318,0.662011173,0.860335196,1
1031,RAMANAGARA,2009,80.74603175,44.36507937,46.17460317,39.47619048,45.0952381,45.84126984,301.4920635,RAMANAGARA,0.798365123,226.9046322,0.544959128,5752.043597,4822.833787,2649.93733,2477.792916,4.305177112,0.765667575,0.95640327,0.861035422,0.433242507,1.430517711,5.054495913,3.869209809,6.280653951,0.057220708,0.019073569,0.83106267,1
1032,RAMANAGARA,2010,80.2238806,46.49253731,53.2238806,48.14925373,48.32835821,49,325.4179104,RAMANAGARA,0.797814208,0,0.519125683,7108.240437,6360.478142,1198.688525,1175.781421,4.379781421,0.964480874,0.964480874,0.948087432,0.407103825,1.448087432,2.571038251,0.453551913,0.863387978,5.726775956,0.628415301,0.827868852,1
1033,RAMANAGARA,2011,75,50.68055556,52.43055556,53.56944444,46.27777778,60.44444444,338.3611111,RAMANAGARA,0.789099526,0,0.502369668,7385.296209,6643.921801,1137.028436,1267.526066,4.680094787,1,0.981042654,0.988151659,0.473933649,8.90521327,9.748815166,8.912322275,11.27962085,12.54028436,29320607228,0.798578199,1
1034,RAMANAGARA,2012,73.95833333,49.04166667,50.25,50.23611111,48.93055556,54.98611111,327.3611111,RAMANAGARA,0.804532578,0,0.767705382,6654.280453,6219.813031,1264.526912,1193.535411,4.543909348,1,0.980169972,0.991501416,0.407932011,1.368271955,2.617563739,0.813031161,3.971671388,0.056657224,0.005665722,0.838526912,1
1035,RAMANAGARA,2013,77.81081081,NA,55.62162162,48.37837838,49.37837838,57.05405405,337.7027027,RAMANAGARA,0.804532578,0,0.923512748,6520.696884,5850.620397,1119.348442,1051.759207,4.467422096,1,0.997167139,0.994334278,0.399433428,1.373937677,2.654390935,0.912181303,3.980169972,0,0,0.838526912,1
1036,RAMDURG,2005,75.13157927,53.23027018,66.75211887,56.51040843,63.53685057,69.70301151,384.8642388,BELGAUM,0.899543379,0,0,0,0,0,0,0,1,0.401826484,0.442922374,0.753424658,2.785388128,1.853881279,10.5890411,4.410958904,0,0,0.890410959,0
1037,RAMDURG,2006,79.24969892,50.66782725,59.67127553,61.10283641,65.92621629,75.46239089,392.0872739,BELGAUM,0.9004329,106.6839827,0.489177489,2809.554113,2485.324675,1863.878788,1575.021645,5.558441558,1,0.402597403,0.705627706,0.714285714,2.787878788,1.722943723,1.484848485,4.510822511,0.108225108,0.004329004,0.883116883,0
1038,RAMDURG,2007,83.83815315,50.60089137,58.40876227,54.56735996,68.06911704,69.31352245,384.7978062,BELGAUM,0.911111111,232.3555556,1.044444444,2836.733333,1880.168889,1932.706667,1487.524444,4.973333333,1,0.435555556,0.72,0.711111111,2.768888889,1.671111111,1.44,4.44,0,0,0.875555556,0
1039,RAMDURG,2008,80.92927304,47.73507783,56.53390191,60.23081217,60.00014011,62.49343046,367.9226355,BELGAUM,0.889830508,226.2881356,0.809322034,6691.682203,6115.699153,1596.355932,1536.661017,5.203389831,1,0.826271186,0.584745763,0.661016949,2.970338983,1.847457627,1.673728814,4.813559322,20.75423729,0.423728814,0.860169492,0
1040,RAMDURG,2009,80.85365854,43.09756098,48.34146341,41.80487805,49.07317073,50.56097561,313.902439,BELGAUM,0.888888889,230.9786325,1.786324786,6388.051282,6033.145299,2111.452991,1705.470085,5.346153846,0.581196581,0.897435897,0.820512821,0.679487179,2.841880342,1.756410256,1.628205128,4.568376068,2.961538462,0.05982906,0.876068376,0
1041,RAMDURG,2010,73.85365854,44.65853659,56,53.6097561,50.95121951,55.6097561,334.7317073,BELGAUM,0.887029289,0,0.807531381,6954.008368,6954.008368,1652.292887,1650.200837,5,0.49790795,0.924686192,0.882845188,0.665271967,3.0041841,1.753138075,0.054393305,0.079497908,0.121338912,0.046025105,0.866108787,0
1042,RAMDURG,2011,77.09302326,51,58.37209302,50.13953488,48.20930233,60.1627907,344.9302326,BELGAUM,0.87804878,0,1.024390244,11230.61324,9535.599303,3103.073171,3024.675958,5.466898955,0.979094077,0.905923345,0.982578397,0.731707317,13.73519164,12.25087108,12.80836237,15.53658537,43.49825784,29011106375,0.836236934,0
1043,RAMDURG,2012,77.27906977,49.6744186,54.90697674,53.81395349,50.81395349,64.62790698,351.1860465,BELGAUM,0.882352941,0,1.058823529,7219.360784,6682.203922,1883.345098,1662.090196,5.552941176,1,0.992156863,0.980392157,0.749019608,2.866666667,1.847058824,0.047058824,4.584313725,0,0,0.815686275,0
